"%s - Your new password";"%s  - Ваш новый пароль"
"MM/dd/y hh:mm a";"MM/dd/y hh:mm a"
"MM/dd/yy";"MM/dd/yy"
"MM/dd/yyyy";"MM/dd/yyyy"
"MMMM dd y";"MMMM dd y"
"Main category";"Главная категория"
"Make this image colorizable";"Сделать изображение с нормальными цветами"
"Manage";"Управлять"
"Map";"Карта"
"Maps";"Карты"
"Message from your app %s";"Сообщение из вашего приложения %s"
"Messages";"Сообщения"
"Modules";"Модули"
"More";"Ещё"
"My account";"Мой аккаунт"
"My invoices";"Мои счета"
"Name";"Имя"
"Never";"Никогда "
"New";"Новый"
"Next";"Далее"
"No";"Нет"
"No address to display on map.";"Адрес не будет отображаться на карте."
"No place to display on map.";"Нет этого места для отображения на карте."
"No results";"Нет результатов"
"No uploaded image";"Нет загруженного изображения"
"Nothing to display";"Ничего не отображать"
"Number";"Количество"
"OK";"ДА"
"OR";"ИЛИ"
"Ouch, this page doesn't exist";"Ой, этой страницы не существует"
"Password";"Пароль"
"Password:";"Пароль:"
"Passwords don't match";"Пароли не совпадают"
"Payment";"Оплата"
"Phone";"Телефон"
"Phone:";"Телефон:"
"Photos";"Фото"
"Plans";"Тариф"
"Platform Name";"Имя платформы"
"Player";"Воспроизвести"
"Please enter a password";"Пожалуйста, введите пароль"
"Please enter a valid URL.";"Пожалуйста, введите URL-адрес."
"Please enter a valid credit card number.";"Пожалуйста, введите действительный номер кредитной карты."
"Please enter a valid date (ISO).";"Пожалуйста, введите дату (ISO)."
"Please enter a valid date.";"Пожалуйста, введите дату."
"Please enter a valid email address";"Пожалуйста, введите верный адрес"
"Please enter a valid email address.";"Пожалуйста, введите действительный адрес электронной почты."
"Please enter a valid number.";"Пожалуйста, введите правильный номер."
"Please enter a valid url";"Пожалуйста, введите правильный URL"
"Please enter a value between {0} and {1} characters long.";"Пожалуйста, введите значение между {0} и {1} символов."
"Please enter a value between {0} and {1}.";"Пожалуйста, введите значение между {0} и {1}."
"Please enter a value greater than or equal to {0}.";"Пожалуйста, введите значение, большее или равное {0}."
"Please enter a value less than or equal to {0}.";"Пожалуйста, введите значение, которое меньше или равно {0}."
"Please enter at least {0} characters.";"Пожалуйста, введите по крайней мере {0} символов."
"Please enter no more than {0} characters.";"Пожалуйста, введите не более {0} символов."
"Please enter only digits.";"Пожалуйста, введите только цифры."
"Please enter the same value again.";"Пожалуйста, введите то же значение снова."
"Please enter your email address";"Пожалуйста, введите ваш адрес электронной почты"
"Please fill in the following fields:";"Пожалуйста, заполните следующие поля:"
"Please fix this field.";"Пожалуйста, исправьте это поле."
"Please log in.";"Пожалуйста, войдите."
"Please, enter a correct email address.";"Пожалуйста, введите правильный адрес электронной почты."
"Please, enter a password.";"Пожалуйста, введите пароль."
"Please, enter a valid date";"Пожалуйста, введите правильную дату"
"Podcast";"Подкаст"
"Podcast URL (iTunes format)";"Подкаст URL (формат Itunes)"
"Podcast type is invalid or can't be found";"Этот тип подкаста является недействительным или не может быть найден"
"Postcode";"Почтовый индекс"
"Postcode:";"Почтовый индекс:"
"Push";"Push"
"Required fields";"Обязательные для заполнения поля"
"Resize your picture";"Изменение размера изображения"
"Resize your picture:";"Изменение размера изображения:"
"SEND";"ОТПРАВИТЬ"
"Save";"Сохранить"
"Search";"Поиск"
"Select a country";"Выберите страну"
"Select all";"Выбрать все"
"Send";"ОТПРАВИТЬ"
"Send your pictures";"Вставьте свои фотографии"
"Settings";"Настройки"
"Size:";"Размер:"
"Street";"Улица"
"Street:";"Улица:"
"Subscriptions";"Подписки"
"Support";"Поддержка"
"Support Link";"Ссылка поддержки"
"Tax";"Налог"
"Taxes";"Налоги"
"Text";"Текст"
"The account has been successfully saved";"Учетная запись была успешно сохранена"
"The address you're looking for does not exists.";"Адрес, который вы ищете не существует."
"The email is required";"Требуется Email "
"The file '%s' does not exist";"Файл '%s' не существует"
"The image '%s' does not exist";"Изображение %s не существует"
"The image size '%s' could not be detected.";"Размер изображения '%s' не соответствует"
"The old password does not match the entered password.";"Старый пароль не соответствует введенному паролю."
"The password is required";"Требуется пароль"
"The password must be at least 6 characters";"Пароль должен быть не менее 6 символов"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Оплата была отменена, что то не так произошло? Не стесняйтесь обращаться к нам."
"This administrator does not exist";"Этот администратор не существует"
"This email address is already used";"Этот адрес электронной почты уже используется"
"This field is required";"Заполнение данного поля обязательно"
"This field is required.";"Это поле обязательно к заполнению."
"This section is unlocked for mobile users only";"Этот раздел разблокирован для мобильных пользователей"
"Timezone";"Временная зона"
"Title";"название"
"Title:";"Заголовок:"
"Total";"Общий"
"Translations";"Переводы"
"Unable to add the contact to your address book";"Невозможно добавить контакт в адресную книгу"
"Unable to calculate the route.";"Невозможно рассчитать маршрут."
"Unable to save image";"Невозможно сохранить изображение"
"Unrecognized image format";"Неизвестный формат изображения"
"Updated at";"Обновлено"
"Use this coupon";"Используйте этот купон"
"User";"Пользователь"
"User successfully saved";"Пользователь успешно сохранен"
"Username";"Имя пользователя"
"Users";"Пользователи"
"VAT Number";"ИНН"
"Validate";"Утвердить"
"Version %s";"Версия %s"
"View";"Вид"
"We are sorry but this address is already used.";"Мы сожалеем, но этот адрес уже используется."
"We are sorry but this email address already exists.";"Мы сожалеем, но этот адрес уже существует."
"We are sorry but this feature is not available yet";"Мы сожалеем, но эта функция пока не доступна"
"Website";"Сайт"
"Yes";"ДА"
"You already have this user in your contact";"У вас уже есть этот пользователь с таким контактом"
"You are gone offline";"Вы вышли из интернета"
"You can upload a pem certificate only.";"Вы можете загрузить только сертификат pem"
"You can upload a zip archive only.";"Вы можете загрузить только ZIP архив."
"You can upload an icon only (.ico and .png).";"Вы можете загрузить иконку только в формате (.ico и .png)."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"Вы можете загрузить изображение только в формате (.jpg, .jpeg, .gif и .png)."
"You can't upload more than one file at a time.";"Вы не можете загрузить более одного файла одновременно."
"You must be logged in to post a comment";"Вы должны быть зарегистрированы, чтобы оставить комментарий."
"You must give the permission to the app to add a contact to your address book";"Вы должны дать разрешение приложению, чтобы добавить контакт в адресную книгу"
"You must share your location to access this page.";"Вы должны сообщить свое местоположение для доступа к этой странице."
"Your browser is too old to view the content of our website.<br />";"Ваш браузер слишком стар, чтобы просмотреть содержимое нашего сайта. <br />"
"Your comment";"Ваш комментарий"
"Your email address";"Ваш адрес электронной почты "
"Your email address does not exist";"Ваш адрес электронной почты не существует"
"Your name";"Ваше имя"
"Your new password has been sent to the entered email address";"Ваш новый пароль был отправлен к введенному адресу электронной почты"
"Your password does not match the entered password.";"Ваш пароль не соответствует введенному паролю."
"Youtube";"Youtube"
"close";"закрытие"
"day";"день"
"days";"дней"
"en";"en"
"hour";"час"
"hours";"часов"
"loading";"Загрузка"
"minute";"минут"
"minutes";"минут"
"picture";"картинку"
"second";"секунда"
"seconds";"секунд"
"title";"название"
"titles";"названия"
"to add a subfolder.";"добавить во вложенную папку."
"An error occurred while deleting the event";"Произошла ошибка при удалении события"
"An error occurred while loading this event";"Произошла ошибка при загрузке события"
"Beginning date:";"Дата начала:"
"Calendar successfully deleted";"Календарь успешно удален"
"Calendar's URL";"URL календаря"
"Calendar's title";"Название календаря"
"Change picture";"Сменить картинку"
"Create a new event";"Создать новое событие"
"Custom Page";"Свой"
"Delete this calendar?";"Удалить этот календарь?"
"Delete this event?";"Удалить это событие?"
"Ending date:";"Дата окончания:"
"Enter your calendar's title";"Введите название вашего календаря"
"Event";"Событие"
"Event successfully deleted";"Событие успешно удалено"
"Event successfully saved";"Событие успешно сохранено"
"Event title:";"Название мероприятия:"
"Illustration";"Иллюстрация"
"Max size: 2000x2000px - allowed formats: jpg & png";"Максимальный размер: 2000x2000px,  допустимые форматы: JPG & PNG"
"Modify the event";"Изменить событие"
"RSVP";"Посмотреть подробности"
"RSVP URL:";"Подробности по URL:"
"Your Facebook page ID";"Ваш ID на странице Facebook "
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Ваш ID на странице Facebook <span class=""требует ввода"">*</span> :"
"Your calendar is empty";"Ваш календарь пуст"
"iCal";"iCal - Apple"
"Add a page";"Добавить страницу"
"Click on";"Нажмите на"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Нажмите на странице, чтобы добавить его в папку <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Click on a page to add it to the folder";"Нажмите на странице, чтобы добавить его в папку"
"Close mobile display";"Закрыть моб. дисплей"
"Delete this folder and all its subfolders?";"Удалить эту папку и все вложенные папки?"
"Folder title is required";"Требуется дать название папки"
"Folders";"Папки"
"Mobile display";"Моб. дисплей"
"New folder";"Новая папка"
"Subtitle";"Подзаголовок"
"You cannot add this feature";"Вы не можете добавить эту функцию"
"You must first complete the current category creation process";"Вы должны сначала завершить текущий процесс по созданию категории"
"You will lose all unsaved changes, continue?";"Вы можете потерять все не сохраненные изменения!"
"to add a folder.";"добавить папку."
"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong> должно быть числовое значение<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</strong> должна быть действительная дата (например дд/мм/год)<br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</должна быть действительная дата<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong> должен быть действительный адрес электронной почты<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> нужно заполнить<br />"
"Add a field";"Добавить поле"
"Add a section";"Добавить раздел"
"Add an option";"Добавить опцию"
"An error occurred while saving. A field can't be identified.";"Произошла ошибка при сохранении. Поле не может быть идентифицировано."
"Are you sure you want to remove this field?";"Вы уверены, что хотите удалить это поле?"
"Are you sure you want to remove this section?";"Вы уверены, что хотите удалить этот раздел?"
"Hello,";"Привет,"
"Checkbox";"Флажок"
"Choose a field type:";"Выберите тип поля:"
"Create a new field";"Создать новое поле"
"Date/Hour";"Дата / час"
"Drop down";"Вниз"
"Edit field %s";"Редактировать поле %s"
"Field name";"Наименование поля"
"Field name:";"Наименование поля:"
"Geolocation";"Геолокация"
"Manage fields";"Управление полем"
"Manage options:";"Управление параметрами:"
"Multiline text";"Текст многострочный"
"Option";"Опция"
"Radio";"Радио"
"Recipient email:";"Адрес электронной почты получателя:"
"The form has been sent successfully";"Форма успешно отправлена"
"You have to choose a field type.";"Вы должны выбрать тип поля."
"Your app's form";"Форма вашего приложения"
"Your form has been filled out, here are the answers:";"Ваша форма была заполнена, вот ответы:"
"%s Update";"%s Обновление"
"All of your modules are up to date";"Все ваши модули находятся в актуальном состоянии"
"Click here to send your module";"Нажмите здесь, чтобы отправить Ваш модуль"
"Drop your module here";"Оставьте ваш модуль здесь"
"Host";"Хостинг"
"Installing module <em><span id=""label_module""></span></em>";"Установка модуля <em><span id=""label_module""></span></em>"
"Installing";"Установка"
"Installing your module";"Установка вашего модуля"
"Module successfully installed";"Модуль успешно установлен"
"Module to upload";"Модуль для загрузки"
"Modules Installation";"Установка дополнительных модулей"
"Modules successfully installed!";"Модули успешно установлены!"
"No directory provided";"Нет указанного каталога"
"No module to install";"Модуль не установить"
"No modules uploaded yet";"Ни один из модулей не загружен"
"Or set the correct permissions to the following files and folders and try again:";"Или установите правильные разрешения на следующие файлы и папки и попробуйте снова:"
"Package Details";"Подробности пакета"
"Path to your system";"Путь к вашей системе"
"Port";"Порт"
"Please update the module to the %s version before installing this update.";"Пожалуйста, обновите модуль до версии %s , перед установкой этого обновления."
"Please update your system to the %s version before installing this update.";"Пожалуйста, обновите систему до версии %s , перед установкой этого обновления."
"Please wait, we're installing your module";"Пожалуйста, подождите, мы устанавливаем модуль"
"Please, enter a name";"Пожалуйста, введите имя"
"Please, fill out all fields";"Пожалуйста, заполните все поля"
"Processing the installation";"Обработка установки"
"Retry";"Повторите"
"Select a module to upload";"Выберите модуль для загрузки"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Некоторые файлы и папки не могут быть перезаписаны. Вы можете либо предоставить вам доступ по FTP, чтобы установить это обновление:"
"Some files don't have the right permissions and can't be updated";"Некоторые файлы не имеют права доступа и не могут быть обновлены"
"The database connection failed. Please, check the entered information.";"Подключение к базе данных не удалось. Пожалуйста, проверьте введенную информацию."
"The entered password confirmation does not match the entered password.";"Ваше подтверждение пароля не соответствует введенному паролю."
"The file %s does not exist";"Файл %s не существует"
"The file %s is not writable.";" Файл %s не доступен для записи."
"The folder %s is not writable. Please fix this issue and try again.";"Папка %s не доступна для записи. Пожалуйста, исправьте этот вопрос и попробуйте еще раз."
"The folder %s is not writable.";"Папка %s не доступна для записи."
"The following files and folders are not writable:";"Следующие файлы и папки не могут быть перезаписаны:"
"The following files and folders are not writable: <br /> - %s";"Следующие файлы и папки не могут быть перезаписаны: <br /> - %s"
"The following folders are not writable: <br /> - %s";"Следующие папки не доступны для записи: <br /> -%s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"Установка модуля <span id=""installation_failed_module_name""></span> не удалась: <span id=""installation_failed_because""></span>"
"The package you have uploaded is invalid.";"Пакет, который вы загрузили является недопустимым."
"This process may take few minutes, please do not refresh the page";"Этот процесс может занять несколько минут, пожалуйста, не обновляйте страницу"
"This update is designed for the %s, you can't install it in your %s.";"Это обновление предназначено для %s, вы не можете установить его в вашем %s."
"Unable to connect to your FTP. Please check the connection information.";"Не удается подключиться к вашему FTP. Пожалуйста, проверьте информацию о соединении."
"Unable to detect your site. Please make sure the entered path is correct.";"Невозможно определить ваш сайт. Пожалуйста, убедитесь, что ввели правильный путь."
"Unable to extract the archive.";"Невозможно извлечь архив."
"Unable to open the archive.";"Не удается открыть архив."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Не удается открыть файл. Пожалуйста, убедитесь, что вы отправили правильный архив."
"Upload a module";"Загрузить модуль"
"Upload your modules";"Загрузить модули"
"Username";"Имя пользователя"
"You already have installed this update.";"Вы уже установили это обновление."
"You can either fix this issue by setting the correct permissions to them and try again or enter your FTP access below:";"Вы можете решить эту проблему, установив необходимые разрешения для них и попробовать снова или введите ваш доступ FTP ниже:"
" is now yours!";"Теперь за вами!"
"1 loyalty point =";"1 метка лояльности ="
"1 point";"1 метка ="
"1 validated point = ";"1 подтверждённая метка ="
"An error occurred while saving the password. Please try again later";"Произошла ошибка при сохранении пароля. Пожалуйста, повторите попытку позже"
"An error occurred while saving the password. Please try again later.";"Произошла ошибка при сохранении пароля. Пожалуйста, повторите попытку позже."
"An error occurred while saving your loyalty card.";"Произошла ошибка при сохранении вашей карты лояльности."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Произошла ошибка при сохранении вашей карты лояльности. Пожалуйста, заполните все поля."
"An error occurred while validating point. Please try again later.";"Произошла ошибка при проверке точку. Пожалуйста, повторите попытку позже."
"Card name";"Имя карточки"
"Congratulations";"Поздравляю"
"Current card";"Текущая метка"
"Delete this password?";"Удалить этот пароль?"
"Employee's name";"Имя работника"
"Employee's name:";"Имя работника:"
"Employee's password";"Пароль работника"
"Employee's password:";"Пароль работника:"
"Enter the password";"Ввести пароль"
"My new loyalty card";"Моя новая карта лояльности"
"My passwords";"Мои пароли"
"Number of points";"Количество меток"
"Please enter a name";"Пожалуйста, введите имя"
"Please enter the password";"Пожалуйста, введите пароль"
"Please show your phone to the store person so that he enters his password";"Пожалуйста, покажите ваш телефон в магазине  продавцу, для ввода пароля"
"Point%s successfully validated";"Метка %s успешно проверена"
"Previous cards";"Предыдущие карты"
"Reward";"Вознаграждение"
"We are sorry but this card is temporarily blocked";"Мы сожалеем, но эта карта временно заблокирована"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Неверный пароль. Будьте осторожны! %d остальные попытки%s могут блокировать карту. Попросите в магазине продавца проверить ваши пункты"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Неверный пароль. <br /> Будьте осторожны! %d остальные попытки%s могут блокировать карту. <br />Попросите в магазине продавца проверить ваши точки"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Вы превысили количество попыток для проверки точек. Ваша карта будет заблокирована на 24 часа"
"You just finished your card";"Вы только что закончили свою карту"
"You must be logged in to validate points";"Вы должны войти в систему для проверки меток"
"Your loyalty card has been saved successfully";"Ваша карта лояльности была успешно сохранена"
"Your password must be 4 digits";"Ваш пароль должен состоять из 4 цифр"
"point";"метка"
"point to validate";"указывают для проверки"
"points to validate";"Метки для проверки"
"validated points =";"погашенные метки ="
"validated points = ";"проверенные метки ="
"%s - Customer Service";"%s - Обслуживание клиентов"
"20.00%";"20.00%"
"Add a picture";"Добавить фотографию"
"Add options";"Дополнительные возможности"
"Add to cart";"Добавить в корзину"
"An error occurred while proceeding the payment. Please, try again later.";"Произошла ошибка во время оплаты. Пожалуйста, повторите попытку позже."
"An error occurred while proceeding your order. Please, check the following information:";"Произошла ошибка при исполнении вашего заказа. Пожалуйста, проверьте следующую информацию:"
"Are you sure you want to close without saving";"Вы уверены, что хотите закрыть без сохранения"
"Are you sure you want to delete this category and all its subcategories?";"Вы уверены, что хотите удалить эту категорию и все его подкатегории?"
"Are you sure you want to delete this store?";"Вы уверены, что хотите удалить этот магазин?"
"Are you sure you want to delete this tax?";"Вы уверены, что хотите удалить этот налог?"
"Are you sure you want to remove this product?";"Вы уверены, что хотите удалить этот продукт?"
"At least one option is required:";"По крайней мере, один параметр является обязательным:"
"Cancelled";"Отменен"
"Carry Out";"На экспорт"
"Cart";"Корзина"
"Cash";"Наличные"
"Category";"Категория"
"Category successfully saved.";"Категория успешно сохранена."
"Check";"Проверить"
"Choose a delivery method:";"Выберите способ доставки:"
"Choose a payment method:";"Выберите способ оплаты:"
"Choose a store:";"Выберите магазин:"
"Completed";"Завершен"
"Connected Printers";"Подключенные принтеры"
"Continue shopping";"Продолжить покупки"
"Create a new options group";"Создайте новую группу опций"
"Create a new product";"Создать новый продукт"
"Create a new tax";"Создать новый налог"
"Create a store";"Создать магазин"
"Credit Card by phone";"Кредитная карта по телефону"
"Credit card (pay upon pickup or delivery)";"Кредитная карта (оплата по телефону)"
"Customer";"Клиент"
"Customer Service";"Обслуживание Клиентов"
"Delivery";"Доставка"
"Delivery Fees";"Стоимость доставки"
"Delivery Method";"Способ доставки"
"Delivery area";"Область доставки"
"Delivery fees";"Стоимость доставки"
"Delivery fees:";"Стоимость доставки:"
"Delivery methods";"Способ доставки"
"Delivery methods:";"Способ доставки:"
"Delivery radius";"Радиус доставки"
"Delivery radius:";"Радиус доставки"
"Delivery time";"Срок поставки"
"Delivery time:";"Срок поставки:"
"Details";"Подробности"
"Edit a store";"Редактирование магазина"
"Edit the options group %s";"Редактировать группу опций %s"
"Edit the product %s";"Редактировать продукт %s"
"Edit the tax %s";"Редактировать налог %s"
"Free delivery starting from";"Бесплатная доставка начиная с"
"Free delivery starting from:";"Бесплатная доставка начиная с:"
"Here is the detail of the order";"Вот детали заказа"
"Here is the detail of your order";"Вот детали заказа"
"Hours of operation";"Часы работы"
"Hours of operation:";"Часы работы:"
"In store";"В магазине"
"Meal Voucher";"Оплата кредиткой во время получения"
"Minimum order";"Минимальный заказ"
"Minimum order:";"Минимальный заказ:"
"My Cart";"Моя корзина"
"My cart is empty";"Моя корзина пуста"
"My categories";"Мои категории"
"My information";"Моя информация"
"My orders";"Мои заказы"
"My product's categories";"Категория Мои продукты"
"My product's options";"Возможности для подписавшихся на Мои продукты"
"My products";"Мои продукты"
"My stores";"Мои магазины"
"My taxes";"Мои налоги"
"Name of the options group:";"Название группы параметров:"
"New order from the application";"Новый заказ из мобильного приложения."
"Number";"Количество"
"Option name";"Название продукта"
"Option name:";"Название продукта:"
"Options group successfully deleted";"Группа Параметры успешно удалена"
"Options group successfully saved";"Группа Параметры успешно сохранены"
"Order Number";"Номер Заказа"
"Order confirmation";"Подтверждение заказа"
"Order details";"Детали заказа"
"Order successfully saved";"Заказы успешно сохранены"
"Orders";"Заказы"
"Paid";"Оплачен"
"Password";"Пароль"
"Password:";"Пароль:"
"Payment";"Оплата"
"Payment Method";"Способ Оплаты"
"Payment methods:";"Способы оплаты:"
"Paypal";"Paypal"
"Pending payment";"До оплаты"
"Picture";"Картинка"
"Please choose a delivery method";"Пожалуйста, выберите способ доставки"
"Please choose a payment method";"Пожалуйста, выберите способ оплаты"
"Please, enter an email address for the store %s";"Пожалуйста, введите адрес электронной почты для магазина %s"
"Price";"Цена"
"Price: %s";"Цена: %s"
"Printer successfully saved";"Принтер успешно сохранен"
"Proceed";"Далее"
"Product";"Продукт"
"Product name";"Название продукта"
"Product name:";"Название продукта:"
"Product successfully saved";"Продукт успешно сохранен"
"Qty";"Кол-во"
"Qty: %s";"Кол-во: %s"
"Radius in Km";"Радиус в км"
"Review";"Обзор"
"Settings";"Настройки"
"Signature";"Подпись"
"Signature:";"Подпись:"
"Status";"Статус"
"Store information";"Сохранить информацию"
"Store name";"Интернет-магазин"
"Store name:";"Интернет-магазин:"
"Store successfully deleted";"Магазин  успешно удален"
"Store successfully saved";"Магазин успешно сохранен"
"Stores";"Магазин"
"Subtotal";"Промежуточный итог"
"Tax";"Налог"
"Tax name";"Наименование налога"
"Tax name:";"Наименование налога:"
"Tax rate";"Ставка налога"
"Tax rate:";"Ставка налога:"
"Tax successfully deleted";"Налог успешно удален"
"Tax successfully saved";"Налог успешно сохранен"
"Tax:";"Налог:"
"Thank you!";"Спасибо!"
"The delivery method";"Способ доставки"
"The following options are required:<br />%s";"Требуются следующие варианты:<br />%s"
"The option %s is required";"Требуется %s вариант"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Оплата была отменена, что то произошло? Не стесняйтесь обращаться к нам."
"The payment method";"Способ оплаты"
"Time in minutes";"Время в минутах"
"Total";"Общие"
"Total Excl. Tax";"Всего без налогов"
"Total Tax";"Совокупный налог"
"Total: %s";"Общий: %s"
"Unit Price";"Цена за единицу"
"Unit price";"Цена за единицу"
"Username";"Имя пользователя"
"Username:";"Имя пользователя:"
"We apologize but the payment method %s is currently not available";"Мы приносим свои извинения, но способ оплаты %s в настоящее время не доступен"
"We thank you for your order. A confirmation email has been sent";"Мы благодарим Вас за Ваш заказ. Мы отправили подтверждение по электронной почте."
"You don't have any categories yet";"Вы не имеете пока никаких категорий"
"You have a connected printer? Enter the email address";"У вас есть подключенный принтер? Введите адрес электронной почты"
"You have a connected printer? Enter the email address for each store";"У вас есть подключенный принтер? Введите адрес электронной почты для каждого магазина"
"Your address";"Ваш адрес"
"Your email address";"Ваш электронный адрес"
"Your firstname";"Ваше имя"
"Your lastname";"Ваша фамилия"
"Your phone number";"Ваш номер телефона"
"e.g., Sauces";"например, Соусы"
"%s by %s";"%s по %s"
"+ Add a track";"+ Добавить трек"
"Add albums and tracks to the playlist:";"Добавить альбомы и треки в плейлист:"
"Album";"Альбом"
"Albums";"Альбомы"
"Albums:";"Альбомы:"
"An error occurred while deleting you images gallery. Please try again later.";"Произошла ошибка во время удаления вашей галереи. Пожалуйста, повторите попытку позже."
"An error occurred while deleting your album. Thanks for trying later.";"Произошла ошибка во время удаления вашего альбома. Удалите пожалуйста позже."
"An error occurred while deleting your playlist. Thanks for trying later.";"Произошла ошибка во время удаления вашего плейлиста. Удалите пожалуйста позже."
"An error occurred while deleting your track. Thanks for trying later.";"Произошла ошибка во время удаления вашей дорожки. Удалите пожалуйста позже."
"An error occurred while loading pictures. Please try later.";"Произошла ошибка при загрузке фотографии. Пожалуйста, попробуйте позже."
"An error occurred while loading videos. Please try later.";"Произошла ошибка при загрузке видео. Пожалуйста, попробуйте позже."
"An error occurred while saving your images gallery. Please try again later.";"Произошла ошибка в процессе сохранения данных изображений. Пожалуйста, повторите попытку позже."
"An error occurred while saving your playlist. Thanks for trying later.";"Произошла ошибка при сохранении плейлиста. Сохраните пожалуйста позже."
"An error occurred while saving your videos gallery. Please try again later.";"Произошла ошибка при сохранении вашей видео галереи. Пожалуйста, повторите попытку позже."
"Are you sure you don't want to create an album for these tracks?";"Вы уверены, что не хотите создать альбом для этих треков?"
"Are you sure you don't want to create an album for this track?";"Вы уверены, что не хотите создать альбом для этого трека?"
"Are you sure you want to delete this album (this won't delete tracks)?";"Вы уверены, что хотите удалить этот альбом (это не приведет к удалению дорожки)?"
"Are you sure you want to delete this album?";"Вы уверены, что хотите удалить этот альбом?"
"Are you sure you want to delete this playlist?";"Вы уверены, что хотите удалить этот плейлист?"
"Are you sure you want to delete this track?";"Вы уверены, что хотите удалить этот трек?"
"Artist";"Исполнитель"
"Artist:";"Исполнитель:"
"Audio";"Аудио"
"Channel";"Канал"
"Choose an album";"Выберите альбом"
"Custom";"Лучшие"
"Delete this gallery?";"Удалить эту галерею?"
"Feed URL";"URL ленты"
"Feed URL <span class=""required-entry"">*</span> :";"Ленту URL <span class=""нужно добавить"">*</span> :"
"Gallery Name";"Имя галереи"
"Gallery Name <span class=""required-entry"">*</span> :";"Имя галереи <span class=""нужно добавить"">*</span> :"
"Group";"Группа"
"I'm listening to";"Я слушаю"
"Images gallery has been saved successfully";"Изображения галереи успешно сохранены"
"Instagram";"Instagram"
"Last update:";"Последнее обновление:"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Максимальный размер: 2000 * 2000 pi.  Допустимые типы файлов: JPG и PNG"
"My pictures";"Мои фотографии"
"No album found";"Альбом не найден"
"No artist found";"Исполнитель не найден"
"No track found";"Трек не найден"
"PLAYER";"Плеер"
"Parameter";"Параметр"
"Parameter/Feed Url";"Параметр / URL ленты"
"Picasa";"Picasa"
"Picture%s";"Фото%s"
"Playlist";"Плейлист"
"Playlist successfully saved.";"Плейлист успешно сохранён."
"Playlist title:";"Название плейлиста"
"Playlists";"Плейлист"
"Podcast";"Подкаст"
"Podcast URL (iTunes format)";"Подкаст URL (формат Itunes)"
"Read all";"Прослушать все треки"
"Required field";"Обязательное поле"
"Search/Url";"Поиск / URL"
"The entered name is not a valid Instagram user.";"Введенное имя не действительно, как пользователя Instagram."
"This element is not an album.";"Этот элемент не является альбомом"
"Track";"трек"
"Tracks";"треки"
"Type";"Тип"
"URL (.mp3):";"URL (.mp3):"
"Videos gallery has been saved successfully";"Видео галерея была успешно сохранена"
"Vimeo";"Vimeo"
"buy";"купить"
"close";"закрыть"
"empty";"пустой"
"from";"от"
"hide";"скрыть"
"loop";"по кругу"
"music";"музыка"
"next";"далее"
"on";"вкл"
"pause";"пауза"
"play";"проиграть"
"previous";"Превью"
"share";"участвовать"
"shuffle";"перемешать"
"track";"трек"
"tracks";"треки"
"Lock the entire application?";"Заблокировать всё приложение?"
"Choose the features to lock:";"Выберите функции, которые нужно заблокировать:"
"Restrict Access";"Ограничение доступа"
"Allow all the users by default:";"Разрешить всем пользователям:"
"the gender";"пол"
"the first name";"имя"
"the last name";"фамилия"
"the email address";"адрес электронной почты"
"the password";"пароль"
"Access restricted to authorized members only";"Доступ ограничен, только для авторизованных подписчиков"
"We are sorry but your account does not have enough permissions to access this page";"Мы сожалеем, но ваша учетная запись не имеет достаточных прав для доступа к этой странице"
"Payments";"Платежи"
"An error occurred while saving your discount. Please fill in all fields";"Произошла ошибка при сохранении скидки. Пожалуйста, заполните все поля."
"Are you sure you want to use this discount?";"Вы уверены в использовании этой скидки?"
"Closed discounts";"Использованные скидки"
"Create a new discount";"Создайте новую скидку"
"Delete this discount?";"Удалить эту скидку?"
"Discount successfully deleted";"Скидка успешно удалена"
"Discount successfully saved";"Скидка успешно сохранена"
"Please select an end date greater than the current date.";"Пожалуйста, выберите дату окончания по сравнению с текущей датой."
"This discount is now used";"Эта скидка в настоящее время используется"
"Valid until";"Действует до"
"You have already use this discount";"Вы уже используете эту скидку"
