"My informations";"Mis informaciones"
"Parameter/Feed Url";"Parametro/Url de su Feed RSS"
Search/Url;Buscar/Url
"More pictures";"Más imágenes"
"No pictures matching your selection";"No hay imágenes que coincidan con su selección"
"An error occurred while loading pictures. Please try later.";"Se ha producido un error al cargar imágenes. Por favor inténtelo de nuevo más tarde"
"More videos";"Más vídeos"
"No videos matching your selection";"No hay vídeos que coincidan con su selección"
"An error occurred while loading videos. Please try later.";"Se ha producido un error al cargar los vídeos. Por favor inténtelo de nuevo más tarde"
"The entered name is not a valid Instagram user.";"El nombre ingresado no es un usuario de Instagram válido."
"An error occurred while saving your images gallery. Please try again later.";"Se ha producido un error al guardar su galería de imágenes. Por favor inténtelo de nuevo más tarde "
"Images gallery has been saved successfully";"Su galería de imágenes ha sido guardada correctamente"
"An error occurred while deleting you images gallery. Please try again later.";"Se ha producido un error al eliminar su galería de imágenes. Por favor inténtelo de nuevo más tarde "
"An error occurred while saving your videos gallery. Please try again later.";"Se ha producido un error al guardar su galería de vídeos . Por favor inténtelo de nuevo más tarde"
"Videos gallery has been saved successfully";"Su galería de vídeos ha sido guardada correctamente"
On;El
Details;Descripción
"End at";"Se termina"
"Closed discounts";"Descuentos terminados"
"Delete this discount?";"¿ Está seguro que desea eliminar este cupón de descuento ?"
"Valid until";"Válido hasta el"
"Use this coupon";"Utilice este cupón de descuento"
"Can only be used once";"Solo se puede utilizar una vez"
"Please log in.";"Inicie su sesión ..."
"An error occurred while saving your discount. Please fill in all fields";"Se ha producido un error al guardar su descuento. Es obligatorio rellenar todos los campos"
"Please select an end date greater than the current date.";"Por favor seleccione una fecha de fin posterior a la fecha actual."
"Discount successfully saved";"Descuento guardado correctamente"
"Discount successfully deleted";"Descuento eliminado correctamente"
"You must be logged in to use a discount";"Usted debe estar conectado para utilizar un cupón de descuento"
"You have already use this discount";"Usted ya ha utilizado este cupón de descuento"
Message;Mensaje
"Creation date";"Fecha de creación"
"Sending date";"Fecha del envío"
Pending;"No enviado"
Title:;Título:
Message:;Mensaje:
"I want to send it";"Quiero enviarle"
"<a href=""%s"">Click here to provide the required information to send push notifications</a>";"<a href=""%s"">Haga clic aquí para proporcionar la información necesaria para enviar notificaciones push</a>"
"Additionnal Information";"Información adicional"
now;ahora
"on a specific date";"en una fecha específica"
"and users entering the area";"y a los usuarios entrando en la zona"
"for a limited period";"por un período limitado"
"Send to all my users";"Enviar a todos mis usuarios"
"Send to a specific location";"Enviar a un lugar específico"
"Enter a location:";"Inserta una ubicación:"
"And a radius (in Km):";"Y un radio (en km):"
"Push Notifications Settings";"Ajustes de Notificaciones Push"
"Send you .pem certificate";"Enviar su certificado .pem "
"You have already sent a certificate";"Usted ya ha enviado su certificado"
"GCM Key";"Clave GCM"
"Sender ID";"ID del remitente"
"You don't have any push notifications";"No tiene ninguna Notificación Push"
"Your message has been saved successfully and will be sent in a few minutes";"Su mensaje ha sido guardado correctamente y será enviado en unos minutos"
"Your message has been saved successfully and will be sent at the entered date";"Su mensaje ha sido guardado correctamente y será enviado en la fecha introducida"
"The duration limit must be higher than the sent date";"El límite de duración debe ser después la fecha de envío"
"Display feed pictures whenever possible";"RSS Mostrar imágenes siempre que sea posible"
"Enter a name and an URL address for this RSS feed";"Escriba un nombre y la dirección URL del Feed RSS"
URL;URL
"Found feeds";"Lista de los Feeds encontrados"
"%s ago";"Hay %s"
"No RSS feed could be found";"No se encontró ningún Feed RSS "
"Please enter a title";"Por favor introduzca un título"
"An error occurred while saving your RSS feed";"Se ha producido un error al guardar su Feed RSS"
"RSS feed successfully saved";"Feed RSS guardado correctamente"
"Enter your Facebook Fan Page Id <span class=""required-entry""> *</span>:";"Id de su Fanpage de Facebook <span class=""required-entry""> *</span> :"
"Enter your Facebook Fan Page Id";"Id de su Fanpage de Facebook"
"Your comment";"Tu comentario"
"Published on %s";"Publicado el %s"
"talk about it";"Hablar acerca de esto"
"like it";"Like it"
"More Posts";"Más posts"
"Current game";"Juego en curso"
"Publication date";"Fecha de publicación"
Periodicity;Periodicidad
"End at";"se acaba el"
"On the";El
"Next game";"Juego siguiente"
Period;Periodo
"Game Name";"Nombre del juego"
"Team Leader";"Líder de equipo"
Challengers;Retadores
"Game successfully saved";"Juego guardado correctamente"
"A week";"Por semanas"
"A month";"Por meses"
"Rank of the week";"Ranking de la semana"
"Rank of the month";"Ranking del mes"
"Choose a template to customize";"Elija una plantilla para personalizar"
Informations;Información
Link:;Link
"Your links";"Sus links"
"Are you sure you want to delete this link?";"¿Esta seguro de eliminar este link?"
"Add a link";"Añadir un link"
"Link has been successfully saved";"El link ha sido guardado correctamente"
"Link has been successfully deleted";"El link ha sido eliminado correctamente"
"Enter your Wordpress URL:";"Introduzca el URL de su Wordpress."
"Click here to download our Wordpress plugin";"Haga clic para descargar nuestro plugin Wordpress."
"Loading categories";"Cargando tus categorías"
"We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.";"Lo sentimos no hemos detectado nuestro plugin en su sitio Wordpress. Por favor, asegurese de que esta correctamente instalado y activado."
"Categories successfully saved";"Categorías guardadas correctamente."
"We are sorry but no category has been detected on your Wordpress website.";"Lo sentimos no hemos encontrado categorías en su sitio Wordpress."
"An error occurred while accessing your Wordpress website. Please, verify the domain name %s";"Un error ha surgido al acceder a su Wordpress. Por favor compruebe el dominio ingresado %s"
