"Actions";"Azioni"
"An error occurred while processing your payment.";"Si è verificato un errore durante il processo di pagamento."
"An error occurred while saving";"Si è verificato un errore durante il salvataggio"
"An error occurred while saving your account. Please try again later.";"Si è verificato un errore durante il salvataggio dell'account. Si prega di riprovare più tardi."
"An error occurred while saving your picture. Please try again later.";"Si è verificato un errore durante il salvataggio dell'immagine. Riprova più tardi."
"An error occurred while saving your picture. Please try againg later.";"Si è verificato un errore durante il salvataggio dell'immagine. Si prega di riprovare più tardi."
"An error occurred while saving. Please try again later.";"Si è verificato un errore durante il salvataggio. Si prega di riprovare più tardi."
"An error occurred while saving. Please, try again later.";"Si è verificato un errore durante il salvataggio. Si prega di riprovare più tardi."
"An error occurred while uploading your file. Please, try again later.";"Si è verificato un errore durante il caricamento del file. Per favore, riprovare più tardi."
"An unexpected error occurred while calculating the route.";"Si è verificato un errore imprevisto durante il calcolo del percorso."
"Appearance";"Aspetto"
"Application";"Applicazione"
"Application Name";"Nome applicazione"
"Applications";"Applicazioni"
"Are you sure you want to delete this admin?";"Sei sicuro di voler eliminare questo admin?"
"Are you sure you want to delete this element?";"Sei sicuro di voler eliminare questo elemento?"
"Are you sure you want to remove this account?";"Sei sicuro di voler rimuovere questo account?"
"Audio";"Audio"
"Authentication failed. Please check your email and/or your password";"Autenticazione fallita. Controlla la tua email e/o la password"
"Authentication failed. Please, check the username and/or the password";"Autenticazione fallita. controlla l'username e/o la password"
"Back";"Indietro"
"Background";"Sfondo"
"Booking";"Prenotazione"
"Browse";"Browse"
"Calendar";"Calendario"
"Can only be used once";"Può essere utilizzato una sola volta"
"Cancel";"Cancella"
"Careful, someone else is working on this application.";"Attento, qualcun altro sta lavorando su questa applicazione."
"Cart";"Carrello"
"Catalog";"Catalogo"
"Change password";"Cambia password"
"City";"Città"
"City:";"Città:"
"Close";"Chiudi"
"Comment";"Commento"
"Comments";"Commenti"
"Commerce";"Commercio"
"Communication";"Comunicazione"
"Company";"Azienda"
"Coms";"Coms"
"Conditions";"Condizioni"
"Confirm";"Conferma"
"Confirm Password";"Conferma password"
"Confirm new password";"Conferma la nuova password"
"Contact";"Contatto"
"Contact successfully added to your address book";"Contatto aggiunto con successo alla tua rubrica"
"Contact us";"Contattaci"
"Contest";"Concorso"
"Country";"Paese"
"Create";"Crea"
"Create a new account";"Crea un nuovo account"
"Create an account";"Crea un account"
"Created at";"Creato a"
"Created at:";"Creato a:"
"Currency";"Valuta"
"Current password";"Password attuale"
"Custom Page";"Pagina personalizzata"
"Dashboard";"Dashboard"
"Data saved successfully.";"Data salvata correttamente"
"Date";"Data"
"Date of birth";"Data di nascita"
"Date of birth:";"Data di nascita:"
"Default Languages";"Linguaggio predefinito"
"Delete";"Cancella"
"Description";"Descrizione"
"Description:";"Descrizione:"
"Details";"Dettagli"
"Discount";"Coupon"
"Do you want to download all the contents now to access it when offline? If you do, we recommend you to use a WiFi connection.";"Vuoi scaricare tutti i contenuti ora per accedervi in modalità offline ? Se lo fai, si consiglia di utilizzare una connessione WiFi"
"Don't close the app while downloading. This may take a while.";"Non chiudere l'applicazione durante il download . Questo potrebbe richiedere alcuni minuti"
"Edit";"Modifica"
"Editing";"Redazione"
"Email";"Email"
"Email address";"Indirizzo email"
"Email:";"Email:"
"End at";"finito a"
"Error : <br/>";"Errore : <br/>"
"Errors : <br/>";"Errori : <br/>"
"Export your customers";"Esporta i tuoi clienti"
"Extension not allowed, '%s' only";"Estensione non consentita, solo '%s'"
"Facebook";"Facebook"
"Fan Wall";"Bacheca"
"Features";"Funzioni"
"First name / Last name";"Nome/Cognome"
"Firstname";"Nome"
"Firstname:";"Nome:"
"Folder";"Cartella"
"Forgot your password ?";"Dimenticato la password?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Hai dimenticato la password? Non ti preoccupare! Basta inserire il tuo indirizzo email e ti ne invieremo una nuova immediatamente"
"Form";"Campo"
"From:";"Da:"
"General";"Generale"
"Hello,";"Ciao,"
"Here is your new password:";"Ecco la tua nuova password"
"How do you want to access the backoffice if you remove the only user remaining?";"Come desideri accedere al backoffice se si rimuove l'unico utente rimasto?"
"ID";"ID"
"Image";"Immagine"
"Image not high enough, %spx minimum allowed.";"Immagine non abbastanza alta, almeno %spx"
"Image not large enough, %spx minimum allowed.";"Immagine non abbastanza larga, almeno %spx"
"Image not large enough, '%s' allowed.";"Immagine non abbastanza larga, almeno '%s'"
"Image too high, %spx maximum allowed.";"Immagine troppo alta, massimo %spx"
"Image too large, %spx maximum allowed.";"Immagine troppo larga, massimo %spx"
"Image too large, '%s' allowed.";"Immagine troppo alta, massimo '%s'"
"Images";"Immagini"
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Per poter godere appieno delle nostre funzionalità, ti invitiamo a utilizzare almeno:.<br />"
"In order to publish your application, we need:<br />- ";"Per pubblicare l'applicazione, abbiamo bisogno di:<br />-"
"Incorrect filetype.";"Tipo di file non corretto."
"Info successfully saved";"Info salvata correttamente"
"Information";"Informazione"
"Infos successfully saved";"Info salvata correttamente"
"Insert a <br /><span class=""bold"">cover image</span>";"Inserire una <br /><span class=""bold"">immagine di copertina</span>"
"Invalid place";"Posizione non valida"
"Invoices";"Fatture"
"Last Name";"Cognome"
"Lastname";"Cognome"
"Lastname:";"Cognome:"
"Like";"Like"
"Likes";"Likes"
"Link";"Link"
"Links";"Links"
"Load More";"Carica Altro"
"Locate";"Localizza"
"Location";"Posizione"
"Location:";"Località:"
"Location: %s";"Posizione: %s"
"Log in";"Login"
"Log-in";"Login"
"Log-out";"Logout"
"Logged in as";"Logati come"
"Loyalty Card";"Carta fedeltà"
"MM,d yy";"d,MM yy"
"MM.dd.y";"dd.MM.y"
"MM.dd.y 'at' HH:mm a";"dd.MM.y 'alle' HH:mm:a"
"MM/dd/y";"dd/MM/yy"
"MM/dd/y 'at' hh:mm a";"dd/MM/y 'alle' hh:mm a"
"MM/dd/y hh:mm a";"dd/MM/y hh:mm a"
"MM/dd/yy";"dd/MM/yy"
"MM/dd/yyyy";"dd/MM/yyyy"
"MMMM dd y";"dd MMMM y"
"Main category";"Categoria principale"
"Make this image colorizable";"Rendi questa immagine colorata"
"Manage";"Gestisci"
"Map";"Mappa"
"Maps";"Mappe"
"Message from your app %s";"Messaggio dall'App %s"
"Messages";"Messaggi"
"Modules";"Moduli"
"Month";"Mese"
"Monthly";"Al mese"
"More";"Altro"
"My account";"My account"
"My invoices";"Le mie fatture"
"Name";"Nome"
"Never";"Mai"
"New";"New"
"New password";"Nuova password"
"Newswall";"Bacheca news"
"Next";"Prossimo"
"No";"No"
"No Results";"Nessun risultato"
"No address to display on map.";"Nessun indirizzo da visualizzare sulla mappa."
"No place to display on map.";"Nessun posto da visualizzare sulla mappa."
"No results";"Nessun risultato"
"No uploaded image";"Nessuna immagine caricata"
"Nothing to display";"Niente da visualizzare"
"Number";"Numero"
"OK";"OK"
"OR";"OR"
"Offline content";"Contenuto offline"
"Old Password";"Vecchia password"
"Options";"Opzioni"
"Ouch, this page doesn't exist";"Ops, questa pagina non esiste"
"Padlock";"Lucchetto"
"Password";"Password"
"Password:";"Password:"
"Passwords don't match";"Le password non corrispondono"
"Payment";"Pagamento"
"Phone";"Telefono"
"Phone:";"Telefono:"
"Photos";"Foto"
"Places";"Posti"
"Plans";"Piani"
"Platform Name";"Nome piattaforma"
"Player";"Giocatore"
"Please enter a password";"Inserisci una password"
"Please enter a valid URL.";"Inserisci un URL valido."
"Please enter a valid credit card number.";"Inserisci una carta di credito valida"
"Please enter a valid date (ISO).";"Inserisci una data valida (ISO)"
"Please enter a valid date.";"Inserisci una data valida"
"Please enter a valid email address";"Inserisci un indirizzo email valido"
"Please enter a valid email address.";"Inserisci un indirizzo email valido."
"Please enter a valid number.";"Inserisci un numero di telefono valido."
"Please enter a valid url";"Inserisci un URL valido"
"Please enter a value between {0} and {1} characters long.";"Immettere un valore compreso tra {0} e {1} caratteri."
"Please enter a value between {0} and {1}.";"Immettere un valore compreso tra {0} e {1}."
"Please enter a value greater than or equal to {0}.";"Inserisci un valore maggiore o uguale a {0}."
"Please enter a value less than or equal to {0}.";"Inserisci un valore minore o uguale a {0}."
"Please enter at least {0} characters.";"Inserisci almeno {0} caratteri"
"Please enter no more than {0} characters.";"Inserisci non più di {0} caratteri."
"Please enter only digits.";"Inserisci solo cifre."
"Please enter the same value again.";"Si prega di inserire di nuovo lo stesso valore."
"Please enter your email address";"Inserisci il tuo indirizzo email"
"Please fill in the following fields:";"Si prega di compilare i seguenti campi:"
"Please fix this field.";"Correggi questo campo"
"Please log in.";"Effettua il login"
"Please provide a certificate.";"Si prega di fornire un certificato."
"Please, enter a correct email address.";"Inserisci un indirizzo email valido."
"Please, enter a password.";"Inserisci una password."
"Please, enter a valid date";"Inserisci una data valida"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Podcast type is invalid or can't be found";"Podcast type non è valido o non può essere trovato"
"Postcode";"CAP"
"Postcode:";"CAP:"
"Previewer";"Anteprima"
"Previews";"Anterime"
"Privacy Policy";"Informativa sulla privacy"
"Push";"Push"
"Push Notifications";"Notifiche push"
"Qty";"Qtà"
"RSS Feed";"RSS Feed"
"Radio";"Radio"
"Required fields";"Campi obbligatori"
"Resize your picture";"Ridimensiona l'immagine"
"Resize your picture:";"Ridimensiona l'immagine:"
"Roles";"Ruoli"
"SEND";"Invia"
"Save";"Salva"
"Scan it";"Scansiona"
"Scan now to unlock";"Scansiona ora per sbloccare"
"Search";"Cerca"
"See";"Guarda"
"Select a country";"Seleziona paese"
"Select all";"Seleziona tutto"
"Send";"Invia"
"Send your pictures";"Invia l'immagine"
"Set Meal";"Prodotto"
"Settings";"Impostazioni"
"Size:";"Misura:"
"Source code";"Source code"
"Street";"Via"
"Street:";"Via:"
"Subscriptions";"Sottoscrizioni"
"Subtitle";"Sottotitolo"
"Support";"Supporto"
"Support Link";"Link di supporto"
"Tax";"IVA"
"Taxes";"IVA"
"Text";"Testo"
"The account has been successfully saved";"L'account è stato salvato correttamente"
"The address you're looking for does not exists.";"L'indirizzo che stai cercando non esiste"
"The admin_id is required";"è necessario l'admin_id"
"The app_id is required";"è necessario l'app_id"
"The email is required";"La mail è obbligatoria"
"The file '%s' does not exist";"Il file '%s' non esiste"
"The image '%s' does not exist";"L'immagine '%s' non esiste"
"The image size '%s' could not be detected.";"Non è stato possibile rilevare la dimensione dell'immagine '%s'"
"The name is required";"è necessario il nome"
"The old password does not match the entered password.";"La vecchia password non corrisponde alla password inserita."
"The password is required";"La password è obbligatoria"
"The password must be at least 6 characters";"La password deve essere di almeno 6 caratteri"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Il pagamento è stato annullato, è successo qualcosa di sbagliato? Non esitate a contattarci."
"This admin does not exist";"Questo admin non esiste"
"This administrator does not exist";"L'amministratore non esiste"
"This application does not exist";"Questa app non esiste"
"This code is unrecognized";"Il codice non è corretto"
"This email address does not exist";"Questo indirizzo mail non esiste"
"This email address is already used";"Questo indirizzo email è già in uso"
"This feature opens the Code Scan camera";"Questa funzione apre lo scanner qr code"
"This field is required";"Questo campo è obbligatorio"
"This field is required.";"Questo campo è obbligatorio."
"This section is unlocked for mobile users only";"Questa sezione funziona solo per gli utenti dell'app pubblicata"
"Timezone";"Fuso orario"
"Title";"Titolo"
"Title:";"Titolo:"
"Topics";"Gestione Notifiche"
"Total";"Totale"
"Translations";"Traduzione"
"Unable to add the contact to your address book";"Impossibile aggiungere il contatto alla rubrica"
"Unable to calculate the route.";"Impossibile calcolare il percorso."
"Unable to save image";"Impossibile salvare l'immagine"
"Unrecognized image format";"Formato immagine non riconosciuto"
"Updated at";"Aggiornato al"
"Use this coupon";"Usa questo coupon"
"User";"User"
"User successfully saved";"User salvato correttamente"
"Username";"Username"
"Users";"Users"
"VAT Number";"numero VAT"
"Validate";"Convalida"
"Version %s";"Versione %s"
"Videos";"Video"
"View";"Visualizza"
"We are sorry but this address is already used.";"Siamo spiacenti ma l'indirizzo è già utilizzato."
"We are sorry but this email address already exists.";"Siamo spiacenti ma l'indirizzo email è già utilizzato."
"We are sorry but this feature is not available yet";"Siamo spiacenti ma questa funzionalità non è ancora disponibile"
"We are sorry but this username already exists.";"Siamo spiacenti ma questo username è già in uso."
"Website";"Sito web"
"Wordpress";"Wordpress"
"Year";"Anno"
"Yearly";"Annuale"
"Yes";"Si"
"You already have this user in your contact";"Hai già questo utente nel tuo contatto"
"You are gone offline";"Sei offline"
"You can upload a pem certificate only.";"È possibile caricare solo un certificato PEM."
"You can upload a png only (.png).";"Puoi caricale solo file (.png)."
"You can upload a zip archive only.";"È possibile caricare solo un archivio zip."
"You can upload an icon only (.ico and .png).";"È possibile caricare una icona sola (.ico e .png)."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"È possibile caricare solo un'immagine (.jpg, .jpeg, .gif e .png)."
"You can't upload more than one file at a time.";"Non è possibile caricare più di un file alla volta."
"You must be logged in to post a comment";"Devi essere loggato per inviare un commento"
"You must give the permission to the app to add a contact to your address book";"È necessario dare il permesso all'applicazione per aggiungere un contatto alla rubrica"
"You must share your location to access this page.";"È necessario condividere la propria posizione per accedere a questa pagina."
"Your browser is too old to view the content of our website.<br />";"Il tuo browser è troppo vecchio per visualizzare il contenuto del nostro sito web.<br />"
"Your comment";"Il tuo commento"
"Your email address";"Il tuo indirizzo"
"Your email address does not exist";"Il tuo indirizzo non esiste"
"Your name";"Il tuo nome"
"Your new password has been sent to the entered email address";"La nuova password è stata inviata all'indirizzo email inserito"
"Your password does not match the entered password.";"La password non corrisponde alla password inserita."
"Youtube";"Youtube"
"close";"Chiudi"
"day";"Giorno"
"days";"Giorni"
"en";"it"
"hour";"ora"
"hours";"ore"
"loading";"Caricamento"
"minute";"minuto"
"minutes";"minuti"
"picture";"immagine"
"second";"Secondo"
"seconds";"Secondi"
"title";"Titolo"
"titles";"Titoli"
"to add a subfolder.";"per aggiungere una sottocartella"
"Add a Website";"Aggiungi un sito web"
"Address:";"Indirizzo"
"An error occurred while deleting the event";"Si è verificato un errore durante l'eliminazione dell'evento"
"An error occurred while loading this event";"Si è verificato un errore durante il caricamento dell'evento"
"Beginning date:";"Data di inizio:"
"Beginning time:";"Ora di inizio:"
"Calendar successfully deleted";"Calendario eliminato correttamente"
"Calendar's URL";"URL del calendario"
"Calendar's title";"Titolo del calendario"
"Change picture";"Cambia immagine"
"Create a new event";"Crea un nuovo evento"
"Custom Calendar";"Calendario Personalizzato"
"Custom Page";"Pagina personalizzata"
"Delete this calendar?";"Eliminare questo calendario?"
"Delete this event?";"Eliminare questo evento?"
"Ending date:";"Data fine:"
"Enter your calendar's title";"Inserisci il titolo del calendario"
"Entrance:";"Ingresso:"
"Entrance: %s";"Ingresso: %s"
"Event";"Evento"
"Event successfully deleted";"Evento eliminato correttamente"
"Event successfully saved";"Evento salvato correttamente"
"Event title:";"Titolo dell'evento"
"Illustration";"Immagini"
"Illustration:";"Illustrazione:"
"Max size: 2000x2000px - allowed formats: jpg & png";"Misura massima: 2000x2000px - formati consentiti: jpg & png"
"Modify the event";"Modifica l'evento"
"RSVP";"RSVP"
"RSVP URL:";"RSVP URL:"
"Subtitle:";"Sottotitolo:"
"Ticket Shop URL:";"Aquista biglietto qui:"
"Your Facebook page ID";"ID pagina facebook"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"ID pagina facebook  <span class=""required-entry"">*</span> :"
"Your calendar is empty";"Il calendario è vuoto"
"iCal";"iCal"
"to";"fino a"
"Add a page";"Aggiungi pagina"
"Click on";"Clucca su"
"Click on a page to add it to the folder";"Clicca sulla pagina per aggiungerla alla cartella"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Clicca sulla pagina per aggiungerla alla cartella <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Close mobile display";"Chiudi il display mobile"
"Delete this folder and all its subfolders?";"Eliminare questa cartella e tutte le relative sottocartelle?"
"Folder title is required";"Il titolo della cartella è obbligatorio"
"Folders";"Cartelle"
"Mobile display";"Display mobile"
"New folder";"Nuova cartella"
"Subtitle";"Sottotitolo"
"You cannot add this feature";"Non puoi aggiungere questa funzione"
"You must first complete the current category creation process";"È necessario prima completare l'attuale processo di creazione categoria"
"You will lose all unsaved changes, continue?";"Perderai tutte le modifiche non salvate, continuare?"
"to add a folder.";"per aggiungere una cartella."
"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</ strong>deve essere un valore numerico<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</ strong>deve essere una data valida (ad esempio gg/mm/aaaa)<br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</ strong>deve essere una data valida<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</ strong>deve essere un indirizzo email valido<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</ strong>deve essere compilato<br />"
"Add a field";"Aggiungi un campo"
"Add a section";"Aggiungi una sezione"
"Add an option";"Aggiungi un opzione"
"An error occurred while saving. A field can't be identified.";"Si è verificato un errore durante il salvataggio. Un campo non può essere identificato."
"Are you sure you want to remove this field?";"Sei sicuro di voler rimuovere questo campo?"
"Are you sure you want to remove this section?";"Sei sicuro di voler rimuovere questa sezione?"
"Checkbox";"Checkbox"
"Choose a field type:";"Scegli il tipo di campo:"
"Create a new field";"Crea un nuovo campo"
"Date/Hour";"Data/ora"
"Drop down";"Tendina"
"Edit field %s";"Modifica campo %s"
"Field name";"Nome del campo"
"Field name:";"Nome del campo:"
"Geolocation";"Geolocalizzazione"
"Hello,";"Ciao,"
"Manage fields";"Gestisci campi"
"Manage options:";"Gestisci opzioni:"
"Multiline text";"Testo multilinea"
"Option";"Opzioni"
"Radio";"Radiobutton"
"Recipient email";"Destinatario mail"
"Recipient email:";"Email destinatario"
"The form has been sent successfully";"Il Form è stato inviato con successo"
"You have to choose a field type.";"Devi scegliere un tipo di campo."
"Your app's form";"Il form della tua app"
"Your form has been filled out, here are the answers:";"Il modulo è stato compilato, ecco le risposte:"
"%s Update";"%s aggiornamento"
"All of your modules are up to date";"Tutti i moduli sono aggiornati"
"An update is available. Click here to download it.";"Un aggiornamento disponibile. Clicca qui per scaricarlo"
"Click here to send your module";"Clicca qui per inviare il tuo modulo"
"Drop your module here";"Trascina il tuo modulo qui"
"Host";"Host"
"Installing";"Installazione"
"Installing module <em><span id=""label_module""></span></em>";"Installazione modulo <em><span id=""label_module""></span></em>"
"Installing your module";"Installare il modulo"
"Module successfully installed";"Il modulo è installato correttamente"
"Module to upload";"Caricamento modulo"
"Modules Installation";"Installazione moduli"
"Modules successfully installed!";"Moduli installati correttamente"
"No directory provided";"Nessuna directory fornita"
"No module to install";"Nessun modulo da installare"
"No modules uploaded yet";"Non ci sono ancora moduli caricati"
"Or set the correct permissions to the following files and folders and try again:";"O impostare le autorizzazioni corrette per i seguenti file e cartelle e riprova:"
"Package Details";"Dettagli pacchetto"
"Path to your system";"Percorso al sistema"
"Please update the module to the %s version before installing this update.";"Si prega di aggiornare il modulo alla versione %s prima di installare questo aggiornamento."
"Please update your system to the %s version before installing this update.";"Si prega di aggiornare il sistema alla versione %s prima di installare questo aggiornamento."
"Please wait, we're installing your module";"Attendere prego, installazione modulo"
"Please, enter a name";"Inserisci un nome"
"Please, fill out all fields";"Per favore, compila tutti i campi"
"Port";"Porta"
"Processing the installation";"Processo di installazione"
"Retry";"Riprova"
"Select a module to upload";"Selezionare un modulo da caricare"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Alcuni file e cartelle non sono scrivibili. O è possibile fornire l'accesso FTP per installare questo aggiornamento:"
"Some files don't have the right permissions and can't be updated";"Alcuni file non hanno le autorizzazioni necessarie e non possono essere aggiornati"
"The database connection failed. Please, check the entered information.";"La connessione al database non è riuscita. Prego, verificare le indicazioni riportate."
"The entered password confirmation does not match the entered password.";"La conferma password immessa non corrisponde alla password inserita."
"The file %s does not exist";"Il file %s non esiste"
"The file %s is not writable.";"Il file %s non è scrivibile"
"The folder %s is not writable. Please fix this issue and try again.";"La cartella %s non è scrivibile. Si prega di risolvere questo problema e riprovare."
"The following files and folders are not writable:";"I seguenti file e cartelle non sono scrivibili:"
"The following files and folders are not writable: <br /> - %s";"I seguenti file e cartelle non sono scrivibili: <br /> - %s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"L'installazione del modulo<span id = ""installation_failed_module_name""></ span>non è riuscita:<span id = ""installation_failed_because""></ span>"
"The package you have uploaded is invalid.";"Il pacchetto che hai caricato non è valido."
"This process may take few minutes, please do not refresh the page";"Questo processo potrebbe richiedere alcuni minuti, si prega di non aggiornare la pagina"
"This update is designed for the %s, you can't install it in your %s.";"Questo aggiornamento è progettato per il %s, non è possibile installarlo nel tuo %s."
"Unable to check for updates now. Please, try again later.";"Impossibile controllare gli aggiornamenti ora. Per favore, riprovare più tardi."
"Unable to connect to your FTP. Please check the connection information.";"Impossibile connettersi al vostro FTP. Controllare le informazioni di connessione."
"Unable to detect your site. Please make sure the entered path is correct.";"Impossibile rilevare il vostro sito. Si prega di verificare che il percorso inserito sia corretto."
"Unable to extract the archive.";"Impossibile estrarre l'archivio."
"Unable to fetch the update. Please, try again later.";"Impossibile recuperare l'aggiornamento. Per favore, riprovare più tardi."
"Unable to open the archive.";"Impossibile aprire l'archivio."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Impossibile aprire il file. Per favore, assicurati che hai mandato un archivio valido."
"Upload a module";"Carica un modulo"
"Upload your modules";"Carica i tuoi moduli"
"Username";"Username"
"We are checking for updates. Please, do not refresh the page.";"Stiamo verificando la disponibilità di aggiornamenti . Per favore, non aggiornare la pagina ."
"You already have installed this template.";"Avete già installato questo template"
"You already have installed this update.";"È già stato installato l'aggiornamento."
"Your system is up to date.";"Il sistema è aggiornato."
" is now yours!";"è ora vostro!"
"1 loyalty point =";"1 punto fedeltà ="
"1 point";"1 punto"
"1 validated point =";"1 punto convalidato ="
"1 validated point = ";"1 punto convalidato ="
"An error occurred while saving the password. Please try again later";"Si è verificato un errore durante il salvataggio della password. Si prega di riprovare più tardi"
"An error occurred while saving the password. Please try again later.";"Si è verificato un errore durante il salvataggio della password. Si prega di riprovare più tardi"
"An error occurred while saving your loyalty card.";"Si è verificato un errore durante il salvataggio della carta fedeltà."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Si è verificato un errore durante il salvataggio della carta fedeltà. Si prega di compilare tutti i campi."
"An error occurred while validating point. Please try again later.";"Si è verificato un errore durante la convalida punto. Si prega di riprovare più tardi."
"Card name";"Nome Carta"
"Congratulations";"Congratulazioni"
"Current card";"Carta corrente"
"Delete this password?";"Eliminare questa password?"
"Employee's name";"Nome del dipendente"
"Employee's name:";"Nome del dipendente:"
"Employee's password";"Password del dipendente"
"Employee's password:";"Password del dipendente:"
"Enter the password";"Inserisci la password"
"My new loyalty card";"La mia nuova carta fedeltà"
"My passwords";"My password"
"No card available";"Carta non disponibile"
"Number of points";"Numero punti"
"Please enter a name";"Inserisci un nome"
"Please enter the password";"Inserisci una password"
"Please show your phone to the store person so that he enters his password";"Mostra il numero di telefono a persona nello store in modo che possa inserire la sua password"
"Point%s successfully validated";"Punti%s validati correttamente"
"Previous cards";"Carte precedenti"
"Reward";"Ricompensa"
"This card is uniq:";"Questa carta è unica:"
"Use only once?";"Utilizzare solo una volta?"
"We are sorry but this card is temporarily blocked";"Siamo spiacenti, questa carta è temporaneamente bloccata"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Password errata. Fate attenzione! %d tentativi rimasti %s prima di bloccare la vostra carta. Chiedete alla persona negozio per la convalida punto"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Password errata. Fate attenzione! %d tentativi rimasti %s prima di bloccare la vostra carta. Chiedete alla persona negozio per la convalida punto"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"È stato superato il numero di tentativi per convalidare punti. La sua carta è bloccata per 24 ore"
"You just finished your card";"Hai appena finito la tua carta"
"You must be logged in to validate points";"You must be logged in to validate points"
"Your loyalty card has been saved successfully";"Devi essere registrato per validare punti"
"Your password must be 4 digits";"La password deve essere di 4 cifre"
"is now yours!";"è ora Tuo!"
"point";"Punto"
"point to validate";"punto da validare"
"points to validate";"punti da validare"
"validated points =";"punti convalidati ="
"validated points = ";"Punti convalidati ="
"%s - Customer Service";"%s - Servizio Clienti"
"20.00%";"20.00%"
"Add a format";"Aggiungi un formato"
"Add a picture";"Aggiungi un immagine"
"Add options";"Aggiungi un opzione"
"Add pictures";"Aggiungi immagine"
"Add to cart";"Aggiungi al carrello"
"Amount remaining:";"Resto dovuto al cliente:"
"Amount you will pay";"Importo pagato dal cliente alla consegna"
"An error occurred while cancelling. Please try again later.";"Si è verificato un errore durante la cancellazione. Per favore riprova più tardi."
"An error occurred while proceeding the payment. Please, try again later.";"Si è verificato un errore durante la procedura di pagamento. Per favore, riprovare più tardi."
"An error occurred while proceeding your order. Please, check the following information:";"Si è verificato un errore durante il processo d'ordine. Per favore, riprovare più tardi."
"Are you sure you want to close without saving";"Sei sicuro di voler chiudere senza salvare?"
"Are you sure you want to delete this category and all its subcategories?";"Sei sicuro di voler eliminare questa categoria e tutte le sue sottocategorie?"
"Are you sure you want to delete this store?";"Sei sicuro di voler eliminare questo store?"
"Are you sure you want to delete this tax?";"Sei sicuro di voler eliminare l'IVA?"
"Are you sure you want to remove this product?";"Sei sicuro di voler rimuovere il prodotto?"
"At least one option is required:";"Almeno un'opzione è necessaria"
"Calculate the change for the client";"Calcolare il cambo per il cliente"
"Cancel order";"Cancella ordine"
"Cancelled";"Annullato"
"Carry Out";"Spedizione"
"Cart";"Carrello"
"Cash";"Contanti"
"Category";"Categoria"
"Category successfully saved.";"Categoria salvata correttamente"
"Check";"Contrassegno"
"Choose a delivery method:";"Scegliere un metodo di consegna:"
"Choose a payment method:";"Scegliere un metodo di pagamento:"
"Choose a store:";"Scegliere uno store"
"Client";"Cliente"
"Client will pay";"Importo da pagare"
"Completed";"Completato"
"Connected Printers";"Stampanti collegate"
"Continue shopping";"Continua gli acquisti"
"Create a new options group";"Crea nuovo gruppo di opzioni"
"Create a new product";"Crea un nuovo prodotto"
"Create a new tax";"Crea ua nuova tassa"
"Create a store";"Crea uno store"
"Credit Card by phone";"Carta di credito smartphone"
"Credit card (pay upon pickup or delivery)";"Carta di credito (pagamento sul ritiro o la consegna)"
"Customer";"Cliente"
"Customer Service";"Servizio cliente"
"Delete";"Cancella"
"Delivery";"Consegna"
"Delivery Fees";"Spese di consegna"
"Delivery Method";"Metodo di Spedizione"
"Delivery area";"Area di consegna"
"Delivery fees";"Spese di consegna"
"Delivery fees:";"Spese di consegna:"
"Delivery methods";"Metodi di consegna"
"Delivery methods:";"Metodi di consegna:"
"Delivery radius";"Raggio di consegna"
"Delivery radius:";"Raggio di consegna:"
"Delivery time";"Tempo per la consegna"
"Delivery time:";"Tempo per la consegna:"
"Details";"Dettagli"
"Done";"Fatto"
"Duplicate this product";"Duplica questo prodotto"
"Edit a store";"Modifica un negozio"
"Edit the options group %s";"Modifica il gruppo di opzioni %s"
"Edit the product %s";"Modifica il prodotto %s"
"Edit the tax %s";"Modifica l'IVA %s"
"Format";"Formato"
"Format:";"Formato:"
"Free delivery starting from";"Consegna gratuita a partire da"
"Free delivery starting from:";"Consegna gratuita a partire da:"
"From";"Da"
"Here is the detail of the order";"Ecco i dettagli dell'ordine"
"Here is the detail of your order";"Ecco i dettagli dell'ordine"
"Hours of operation";"Orari di apertura"
"Hours of operation:";"Orari di apertura:"
"I will pay";"Da pagare"
"In store";"In negozio"
