%s - Your new password;%s – Yeni şifreniz
"Log-in";"Oturum Aç"
"Log-out";"Çıkış"
"Logged in as";"Olarak girildi"
"MM,d yy";"MM,d yy"
"MM/dd/y";"MM/dd/y"
"MM/dd/y 'at' hh:mm a";"MM/dd/y 'at' hh:mm a"
"MM/dd/y hh:mm a";"MM/dd/y hh:mm a"
"MM/dd/yy";"MM/dd/yy"
"MM/dd/yyyy";"MM/dd/yyyy"
"MMMM dd y";"MMMM dd y"
"Main category";"Ana kategori"
"Make this image colorizable";"Bu resmi renklendirilebilir yap"
"Manage";"Yönet"
"Map";"Harita"
"Maps";"Haritalar"
"Message from your app %s";"%s uygulamanızdan mesaj "
"Messages";"Mesajlar"
"Modules";"Modüller"
"More";"Daha"
"My account";"Hesabım"
"My invoices";"Faturalarım"
"Name";"Ad"
"Never";"Asla"
"New";"Yeni"
"Next";"Sonraki"
"No";"Yok"
"No address to display on map.";"Harita üzerinde gösterilecek bir adres yok."
"No place to display on map.";"Harita üzerinde gösterilecek bir yer yok."
"No results";"Sonuç yok"
"No uploaded image";"yüklenen resim sayısı"
"Nothing to display";"Gösterilecek bir şey yok"
"Number";"Sayı"
"OK";"OK"
"OR";"YA DA"
"Ouch, this page doesn't exist";"Bu sayfa mevcut değil"
"Password";"Şifre"
"Password:";"Şifre:"
"Passwords don't match";"Şifre eşleşmiyor"
"Payment";"Ödeme"
"Phone";"Telefon"
"Phone:";"Tel:"
"Photos";"Resimler"
"Plans";"Planlar"
"Platform Name";"Platform Adı"
"Player";"Oyuncu"
"Please enter a password";"Lütfen bir şifre girin"
"Please enter a valid URL.";"Lütfen geçerli bir URL girin."
"Please enter a valid credit card number.";"Lütfen geçerli bir kredi kartı numarası girin."
"Please enter a valid date (ISO).";"Lütfen geçerli bir tarih girin (ISO)."
"Please enter a valid date.";"Lütfen geçerli bir tarih girin."
"Please enter a valid email address";"Lütfen geçerli bir email girin"
"Please enter a valid email address.";"lütfen geçerli bir email adresi girin."
"Please enter a valid number.";"Lütfen geçerli bir numara girin."
"Please enter a valid url";"Lütfen geçerli bir url girin"
"Please enter a value between {0} and {1} characters long.";"Lütfen {0} ile {1} karakter uzunluğu arasında bir değer girin."
"Please enter a value between {0} and {1}.";"Lütfen {0} ile {1} arası bir değer giriniz."
"Please enter a value greater than or equal to {0}.";"Lütfen {0} a eşit ya da büyük bir değer girin."
"Please enter a value less than or equal to {0}.";"Lütfen {0} a eşit ya da daha küçük bir değer girin."
"Please enter at least {0} characters.";"Lütfen en az {0} karakter girin."
"Please enter no more than {0} characters.";"{0} karakterden daha fazla girmeyiniz."
"Please enter only digits.";"Lütfen yalnızca numara girin."
"Please enter the same value again.";"Lütfen aynı değeri tekrar girin."
"Please enter your email address";"Lütfen email adresinizi girin"
"Please fill in the following fields:";"Aşağıdaki alanları doldurunuz:"
"Please fix this field.";"Lütfen alanı düzenleyin."
"Please log in.";"Lütfen giriş yapın"
"Please, enter a correct email address.";"Lütfen doğru email girin"
"Please, enter a password.";"Lütfen bir şifre girin."
"Please, enter a valid date";"Lütfen geçerli bir tarih girin"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Podcast type is invalid or can't be found";"Podcast türü geçersiz ya da bulunamıyor"
"Postcode";"Posta kodu"
"Postcode:";"Posta Kodu:"
"Push";"Bildirim"
"Required fields";"Gerekli alanlar"
"Resize your picture";"Resminizi yeniden boyutlandırın"
"Resize your picture:";"Resminizi yeniden boyutlandırın:"
"SEND";"YOLLA"
"Save";"Sakla"
"Search";"Ara"
"Select a country";"Bir ülke seçin"
"Select all";"Tümünü seçin"
"Send";"Gönder"
"Send your pictures";"Resimlerinizi gönderin"
"Settings";"Ayarlar"
"Size:";"Boyut:"
"Street";"Cadde"
"Street:";"Cadde:"
"Subscriptions";"Üyelik"
"Support";"Destek"
"Support Link";"Destek linki"
"Tax";"Vergi"
"Taxes";"Vergiler"
"Text";"Metin"
"The account has been successfully saved";"Hesap başarıyla kaydedildi"
"The address you're looking for does not exists.";"Aradığınız adres mevcut değil."
"The email is required";"Email gerekli"
"The file '%s' does not exist";"Dosya '%s' mevcut değil"
"The image '%s' does not exist";"Resim '%s' mevcut değil"
"The image size '%s' could not be detected.";"Resim boyutu '%s' algılanamadı."
"The old password does not match the entered password.";"Şifreler eşleşmiyor."
"The password is required";"Şifre gerekli"
"The password must be at least 6 characters";"Şifre en az 6 karekter olmalı"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Ödeme iptal edildi, bir şeyler yanlış oldu? Bizimle temas kurmaktan çekinmeyin."
"This administrator does not exist";"Bu Yönetici mevcut değil"
"This email address is already used";"Bu email adresi kullanımda"
"This field is required";"Bu dosya gerekli"
"This field is required.";"Gerekli alanları doldurunuz."
"This section is unlocked for mobile users only";"Bu bölüm sadece mobil kullanıcılar için"
"Timezone";"Zaman Dilimi"
"Title";"Başlık:"
"Title:";"Başlık:"
"Total";"Toplam"
"Translations";"Çeviriler"
"Unable to add the contact to your address book";"Adres defterinize kişi eklenemiyor"
"Unable to calculate the route.";"Rota hesaplanamıyor."
"Unable to save image";"Resim kaydedilemiyor"
"Unrecognized image format";"Tanınmayan resim biçimi"
"Updated at";"de güncellendi"
"Use this coupon";"Bu kuponu kullanın"
"User";"Kullanıcı"
"User successfully saved";"Kullanıcı başarıyla kaydedildi"
"Username";"Kullanıcı adı"
"Users";"Kullanıcılar"
"VAT Number";"Vergi numarası"
"Validate";"Geçerli"
"Version %s";"Versiyon %s"
"View";"Görünüm"
"We are sorry but this address is already used.";"Üzgünüz ama bu adres kullanımda"
"We are sorry but this email address already exists.";"Üzgünüz ama bu email kullanılmış"
"We are sorry but this feature is not available yet";"Üzgünüz ama bu özellik henüz mevcut değil"
"Website";"Website"
"Yes";"Evet"
"You already have this user in your contact";"Bu kullanıcı zaten listenizde"
"You are gone offline";"Çevrim dışısınız"
"You can upload a pem certificate only.";"Sadece bir pem sertifikası yükleyebilirsiniz."
"You can upload a zip archive only.";"Sadece zip arşiv yüklenebilir."
"You can upload an icon only (.ico and .png).";"Sadece (.ico ve .png) yükleyebilirsiniz."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"Sadece (.jpg, .jpeg, .gif ve .png) yükleyebilirsiniz."
"You can't upload more than one file at a time.";"Bir seferde birden fazla dosya yüklenemez."
"You must be logged in to post a comment";"Yorum yazmak için giriş yapmalısınız"
"You must give the permission to the app to add a contact to your address book";"Adres defterinize kontak eklemek için uygulamaya izin vermelisiniz"
"You must share your location to access this page.";"Bu sayfaya ulaşmak için yerinizi paylaşmalısınız."
"Your browser is too old to view the content of our website.<br />";"Tarayıcınız sitemizin içeriğini görüntülemek için çok eski. <br />"
"Your comment";"Yorumunuz"
"Your email address";"Email adresiniz"
"Your email address does not exist";"Email adresiniz mevcut değil"
"Your name";"Adınız"
"Your new password has been sent to the entered email address";"Yeni şifreniz girilen e-posta adresine gönderildi"
"Your password does not match the entered password.";"Şifreler eşleşmiyor."
"Youtube";"Youtube"
"close";"Kapat"
"day";"gün"
"days";"gün "
"en";"tr"
"hour";"saat"
"hours";"saat"
"loading";"yüklüyor"
"minute";"dakika"
"minutes";"dakika"
"picture";"resim"
"second";"saniye"
"seconds";"saniye"
"title";"başlık"
"titles";"başlıklar"
"to add a subfolder.";"Bir alt klasör eklemek için."
An error occurred while deleting the event;Etkinlik silinirken bir hata oluştu
An error occurred while loading this event;Etkinlik yüklenirken bir hata oluştu
Beginning date:;Başlangıç tarihi:
Calendar successfully deleted;Takvim başarıyla silindi
Calendar's URL;Takvim URL
Calendar's title;Takvim başlığı
Change picture;Resmi değiştir
Create a new event;Yeni bir etkinlik oluştur
Custom Page;Müşteri Sayfası
Delete this calendar?;Takvim silinsin mi?
Delete this event?;Etkinlik silinsin mi?
Ending date:;Bitiş tarihi:
Enter your calendar's title;Takviminizin başlığını girin
Event;Etkinlik
Event successfully deleted;Etkinlik başarıyla silindi
Event successfully saved;Etkinlik başarıyla kaydedildi
Event title:;Etkinlik başlığı:
Illustration;Örnekleme
Max size: 2000x2000px - allowed formats: jpg & png;Max boyut: 2000x2000px – izin verilen formatlar: jpg & png
Modify the event;Etkinliği düzenleyin
RSVP;RSVP
RSVP URL:;RSVP URL:
Your Facebook page ID;Facebook sayfa ID si
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Facebook sayfa ID si <span class=""required-entry"">*</span> :"
Your calendar is empty;Takviminiz boş
iCal;iCal
Add a page;Bir sayfa ekle
Click on;Üzerine tıkla
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Klasöre eklemek için bir sayfaya tıklayın <span id=""folder_name"" class=""folder_name"">""%s""</span>"
Click on a page to add it to the folder;Klasöre eklemek için bir sayfaya tıklayın
Close mobile display;Mobil ekranı kapatın
Delete this folder and all its subfolders?;Bu klasörü ve tüm alt klasörleri sil?
Folder title is required;Klasör başlığı gereklidir
Folders;Klasörler
Mobile display;Mobil ekran
New folder;Yeni klasör
Subtitle;Altyazı
You cannot add this feature;Bu özelliği eklenemez
You must first complete the current category creation process;Önce mevcut kategori oluşturma işlemini tamamlamanız gerekir
You will lose all unsaved changes, continue?;Devam ederseniz tüm kaydedilmemiş değişiklikleri kaybedersiniz?
to add a folder.;bir klasör eklemek için.
<strong>%s</strong> must be a numerical value<br />;<strong>%s</strong> numerik değer olmalı<br />
<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />;<strong>%s</strong> Geçerli bir tarih olmalıdır (örk. gg/aa/yyyy)<br />
<strong>%s</strong> must be a valid date<br />;<strong>%s</strong> geçerli bir tarih olmalı<br />
<strong>%s</strong> must be a valid email address<br />;<strong>%s</strong> geçerli email olmalı<br />
<strong>%s</strong> must be filled<br />;<strong>%s</strong> doldurulmalı<br />
Add a field;Bir alan ekle
Add a section;Bir bölüm ekle
Add an option;Bir seçenek ekle
An error occurred while saving. A field can't be identified.;Kaydedilirken bir hata oluştu. Bir alan tespit edilemedi.
Are you sure you want to remove this field?;Bu alanı kaldırmak istediğinizden eminmisiniz?
Are you sure you want to remove this section?;Bu bölümü kaldırmak istediğinizden eminmisiniz?
Hello,;Merhaba,
Checkbox;Onay kutusu
Choose a field type:;Bir alan cinsi seçin:
Create a new field;Yeni bir alan oluşturun
Date/Hour;Tarih/Saat
Drop down;Drop down
Edit field %s;%s Alanını düzenle
Field name;Alan adı
Field name:;Alan adı:
Geolocation;Coğrafi Konum
Manage fields;Alanları yönet
Manage options:;Seçenekleri yönet:
Multiline text;Çok satırlı metin
Option;Seçenek
Radio;Radio
Recipient email:;Alıcı e-posta:
The form has been sent successfully;Form başarıyla gönderildi
You have to choose a field type.;Bir alan türü seçmek zorundasınız.
Your app's form;Uygulamanızın formu
Your form has been filled out, here are the answers:;Formunuz dolduruldu,cevaplar burda:
"%s Update";"%s Güncelleme"
"All of your modules are up to date";"Tüm modülleriniz güncel"
"Click here to send your module";"Burayı tıklayarak modülü gönderin"
"Drop your module here";"Modülünüzü buraya sürükleyin"
Host;Host
Installing;Yükleniyor
"Installing module <em><span id=""label_module""></span></em>";"Yükleme modülü <em><span id=""label_module""></span></em>"
"Installing your module";"Modülünüz yükleniyor"
"Module successfully installed";"Modül başarıyla yüklendi"
"Module to upload";"Yüklenecek modül"
"Modules Installation";"Modüller yüklemesi"
"Modules successfully installed!";"Modüller başarıyla yüklendi"
"No directory provided";"Dizin sağlanmamış"
"No module to install";"Yüklemek için modül yok"
"No modules uploaded yet";"Henüz hiç bir modül yüklenmemiş "
"Or set the correct permissions to the following files and folders and try again:";"Ya da aşağıdaki dosyalar ve klasörler için doğru izinlerini ayarlayarak yeniden deneyin:"
"Package Details";"Paket detayları"
"Path to your system";"Sisteminizin yolu"
"Please update the module to the %s version before installing this update.";"Bu güncelleştirmeyi yüklemeden önce%s sürümüne modülü güncelleyin."
"Please update your system to the %s version before installing this update.";"Bu güncelleştirmeyi yüklemeden önce%s sürümüne sisteminizi güncelleyin."
"Please wait, we're installing your module";"Lütfen bekleyin modülünüzü yüklüyoruz"
"Please, enter a name";"Lütfen bir isim girin"
"Please, fill out all fields";"Lütfen tüm alanları doldurunuz"
Port;Port
"Processing the installation";"Kurulum işliyor"
Retry;Yenileyin
"Select a module to upload";"Yüklemek için bir modül seçin"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Bazı dosya ve klasör yazılabilir değil. Bu güncelleştirmeyi yüklemek için FTP erişimide sağlayabilirsiniz:"
"Some files don't have the right permissions and can't be updated";"Bazı dosyalar doğru izinlere sahip değil ve güncellenemedi"
"The database connection failed. Please, check the entered information.";"Veritabanı bağlantısı başarısız oldu.Girdiğiniz bilgileri kontrol edin."
"The entered password confirmation does not match the entered password.";"Şifreler eşleşmiyor."
"The file %s does not exist";"Alan %s mevcut değil"
"The file %s is not writable.";"%s dosyası yazılabilir değil."
"The folder %s is not writable. Please fix this issue and try again.";"Klasör%s yazılabilir değil. Bu sorunu giderin ve yeniden deneyin."
"The following files and folders are not writable:";"Aşağıdaki dosyalar ve klasörler yazılabilir değildir:"
"The following files and folders are not writable: <br /> - %s";"Aşağıdaki dosyalar yazılabilir değil: <br /> - %s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"Modül yükleme <span id=""installation_failed_module_name""></span> reddedildi: <span id=""installation_failed_because""></span>"
"The package you have uploaded is invalid.";"Yüklediğiniz paket geçersiz."
"This process may take few minutes, please do not refresh the page";"Bu süreç birkaç dakika sürebilir bu süreçte sayfayı yenilemeyin."
"This update is designed for the %s, you can't install it in your %s.";"Bu güncelleme%s için tasarlanmış,%s nizin üstüne kuramazsınız."
"Unable to connect to your FTP. Please check the connection information.";"FTP bağlantı kurulamıyor. Bağlantı bilgilerini kontrol edin."
"Unable to detect your site. Please make sure the entered path is correct.";"Sitenizi algılayamadı. Girilen yolun doğru olduğundan emin olun."
"Unable to extract the archive.";"Arşiv dişa aktarılamıyor."
"Unable to open the archive.";"Arşiv açılamıyor."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Dosya açılamıyor.Geçerli bir arşiv gönderildiğinden emin olun."
"Upload a module";"Bir modül yükleyin"
"Upload your modules";"Modüllerinizi yükleyin "
Username;Kullanıcıadı
"You already have installed this update.";"Zaten bu güncelleştirmeyi yüklediniz. "
"You can either fix this issue by setting the correct permissions to them and try again or enter your FTP access below:";"Onlara doğru izinleri ayarlayarak bu sorunu giderebilirsiniz ve tekrar deneyin ya da FTP erişimini deneyiniz:"
" is now yours!";"Şimdi sizin!"
"%d validated points = ";"%d onaylı puanlar =  "
"1 loyalty point =";"1 bağlılık puanı ="
"1 point";"1 puan"
"1 validated point = ";"1 onaylı puan = "
"An error occurred while saving the password. Please try again later";"Parolanızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz"
"An error occurred while saving the password. Please try again later.";"Parolanızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your loyalty card.";"Bağlılık kartı kaydedilirken bir hata oluştu."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Bağlılık kartı kaydedilirken bir hata oluştu.Tüm alanları doldurunuz."
"An error occurred while validating point. Please try again later.";"Puanlarınız doğrulanırken bir hata oluştu. Daha sonra tekrar deneyiniz."
"Card name";"Kart ismi"
"Congratulations";"Tebrikler"
"Current card";"Güncel kart"
"Delete this password?";"Bu şifre silinsin mi?"
"Employee's name";"Çalışanın ismi:"
"Employee's name:";"Çalışanın ismi"
"Employee's password";"Çalışanın şifresi"
"Employee's password:";"Çalışanın şifresi:"
"Enter the password";"Şifre girin"
"My new loyalty card";"Yeni bağlılık kartım"
"My passwords";"Yeni şifrem"
"Number of points";"Puan Sayısı"
"Please enter a name";"Bir isim girin"
"Please enter the password";"Şifre girin"
"Please show your phone to the store person so that he enters his password";"Lütfen telefonunuzu mağza çalışanına gösterin ki şifresini girebilsin"
"Point%s successfully validated";"%s puan başarıyla doğrulandı"
"Previous cards";"Önceki kartlar"
"Reward";"Ödül"
"We are sorry but this card is temporarily blocked";"Üzgünüz ama bu kart geçici olarak bloke edilmiştir"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Dikkat edin yanlış şifre girdiniz deneme sayınız %d kartınızı kitlemeden önce kalan deneme sayınız %s puanlarınızı doğrulatmak için mağza çalışanıyla konuşunuz."
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Yanlış şifre.<br />Dikkat edin! %d kez denediniz %s kartınızı kitlemeden önce kalan deneme sayınız %s.<br /> puanlarınızı doğrulatmak için mağza çalışanıyla konuşunuz"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Puanlarınızı doğrulamak için deneme sayısını aştınız. Kartınız 24 saat kilitli"
"You just finished your card";"Kartınızı bitirdiniz"
"You must be logged in to validate points";"Puanları doğrulamak için giriş yapmalısınız"
"Your loyalty card has been saved successfully";"Bağlılık kartınız başarıyla kaydedildi"
"Your password must be 4 digits";"Şifreniz 4 basamaklı olmalı"
"point";"puan"
"point to validate";"dogrulama puanı"
"points to validate";"doğrulam puanları"
"validated points = ";"geçerli puanlar="
%s - Customer Service;%s – Müşteri hizmetleri
20.00%;20.00%
Add a picture;Bir resim ekleyin
Add options;Seçenekleri ekleyin
Add to cart;Sepete ekle
An error occurred while proceeding the payment. Please, try again later.;Ödeme devam ederken bir hata oluştu. Daha sonra tekrar deneyin.
An error occurred while proceeding your order. Please, check the following information:;Siparişinizi devam ederken bir hata oluştu. Aşağıdaki bilgileri kontrol edin:
Are you sure you want to close without saving;Kaydetmeden kapatmak istediğinizden emin misiniz?
Are you sure you want to delete this category and all its subcategories?;Bu kategori ve tüm alt kategorilerini silmek istediğinizden emin misiniz?
Are you sure you want to delete this store?;Bu mağazayı silmek istediğinizden emin misiniz?
Are you sure you want to delete this tax?;Bu vergi silmek istediğinizden emin misiniz?
Are you sure you want to remove this product?;Bu ürünü kaldırmak istediğinizden emin misiniz?
At least one option is required:;En az bir seçenek gereklidir:
Cancelled;İptal edildi
Carry Out;Uygula
Cart;Sepet
Cash;Nakit
Category;Kategori
Category successfully saved.;Kategori başarıyla kaydedildi.
Check;Kontrol
Choose a delivery method:;Teslim şekli seçiniz:
Choose a payment method:;Ödeme şekli seçiniz:
Choose a store:;Bir mağza seçiniz:
Completed;Tamamlandı
Connected Printers;Bağlı yazıcılar
Continue shopping;Alışverişe devam
Create a new options group;Yeni seçenekler grubu oluştur
Create a new product;Yeni ürün oluştur
Create a new tax;Yeni vergi oluştur
Create a store;Mağza oluştur
Credit Card by phone;Kredi kartı (Telefonda)
Credit card (pay upon pickup or delivery);Kredi kartı (Ürün tesliminde)
Customer;Müşteri
Customer Service;Müşteri servisi
Delivery;Teslim
Delivery Fees;Nakliye ücreti
Delivery Method;Teslim şekli
Delivery area;Teslim bölgesi
Delivery fees;Nakliye ücreti
Delivery fees:;Nakliye Ücreti:
Delivery methods;Teslim şekilleri
Delivery methods:;Teslim şekilleri:
Delivery radius;Teslim yarıçapı
Delivery radius:;Teslim yarıçapı:
Delivery time;Teslim saati
Delivery time:;Teslim saati:
Details;Detaylar
Edit a store;Bir mağza düzenle
Edit the options group %s;Seçenekler grubu düzenleyin %s
Edit the product %s;Ürün düzenleyin %s
Edit the tax %s;Vergi düzenleyin %s
Free delivery starting from;Başlayarak Ücretsiz teslimat
Free delivery starting from:;Başlayarak Ücretsiz teslimat:
Here is the detail of the order;Sipariş detayı
Here is the detail of your order;Siparişlerinizin detayı
Hours of operation;Çalışma saatleri
Hours of operation:;Çalışma saatleri:
In store;Mağzada
Meal Voucher;Yemek Çeki
Minimum order;Minimum sipariş
Minimum order:;Minimum sipariş:
My Cart;Sepetim
My cart is empty;Sepetim boş
My categories;Kategorilerim
My information;Bilgilerim
My orders;Siparişlerim
My product's categories;Ürünlerimin kategorileri
My product's options;Ürünlerimin seçenekleri
My products;Ürünlerim
My stores;Mağzalarım
My taxes;Vergilerim
Name of the options group:;Seçenekler grubunun Adı:
New order from the application;Uygulamadan yeni sipariş
Number;Sayı
Option name;Seçenek adı
Option name:;Seçenek adı:
Options group successfully deleted;Seçenekler grubu başarıyla silindi
Options group successfully saved;Seçenekler grubu başarıyla kaydedildi
Order Number;Sipariş numarası
Order confirmation;Sipariş doğrulaması
Order details;Sipariş detayları
Order successfully saved;Sipariş başarıyla kaydedildi
Orders;Siparişler
Paid;Ödendi
Password;Şifre
Password:;Şifre:
Payment;Ödeme
Payment Method;Ödeme Şekli
Payment methods:;Ödeme şekilleri:
Paypal;Paypal
Pending payment;Bekleyen ödemeler
Picture;Resim
Please choose a delivery method;Bir teslim yöntemi seçiniz
Please choose a payment method;Bir ödeme yöntemi seçiniz
Please, enter an email address for the store %s;Mağza için bir email adresi seçin %s
Price;Fiyat
Price: %s;Fiyat: %s
Printer successfully saved;Yazıcı başarıyla kaydedildi
Proceed;Devamet
Product;Ürün
Product name;Ürün adı
Product name:;Ürün adı:
Product successfully saved;Ürün başarıyla kaydedildi
Qty;Miktar
Qty: %s;Miktar: %s
Radius in Km;Km yarıcap
Review;İncele
Settings;Ayarlar
Signature;İmza
Signature:;İmza:
Status;Statü
Store information;Mağza Bilgisi
Store name;Mağza ismi
Store name:;Mağza ismi:
Store successfully deleted;Mağza başarıyla silindi
Store successfully saved;Mağza başarıyla kaydedildi
Stores;Mağzalar
Subtotal;Alt toplam
Tax;Vergi
Tax name;Vergi adı
Tax name:;Vergi adı:
Tax rate;Vergi oranı
Tax rate:;Vergi oranı:
Tax successfully deleted;Vergi başarıyla silindi
Tax successfully saved;Vergi başarıyla kaydedildi
Tax:;Vergi:
Thank you!;Teşekkürler!
The delivery method;Teslim şekli
The following options are required:<br />%s;Aşağıdaki seçenekler gereklidir:<br />%s
The option %s is required;Seçenek %s gerekli
The payment has been cancelled, something wrong happened? Feel free to contact us;Ödeme iptal edildi, bir şeyler yanlış oldu? Bizimle temas kurmaktan çekinmeyin
The payment method;Ödeme Şekli
Time in minutes;Zaman(dakika)
Total;Toplam
Total Excl. Tax;Vergi hariç toplam
Total Tax;Toplam vergi
Total: %s;Toplam: %s
Unit Price;BirimFiiyatı
Unit price;Birim fiyatı
Username;Kullanıcı adı
Username:;Kullanıcı adı:
We apologize but the payment method %s is currently not available;Maalesef ödeme yöntemi % s şu anda mevcut değil
We thank you for your order. A confirmation email has been sent;Sipariş için teşekkür ederiz. Bir onay e-postası gönderildi
You don't have any categories yet;Henüz kategoriniz yok
You have a connected printer? Enter the email address;Bir bağlı yazıcınız var mı? E-posta adresinizi girin
You have a connected printer? Enter the email address for each store;Bir bağlı yazıcınız var mı? Her mağaza için e-posta adresinizi girin
Your address;Adresiniz
Your email address;Email adresiniz
Your firstname;Adınız
Your lastname;Soyadınız 
Your phone number;Telefon numaranız
e.g., Sauces;örk Salçalar
%s by %s;%s ile %s
+ Add a track;+ Bir şarkı ekle
Add albums and tracks to the playlist:;Çalma listesine albüm ve parçaları ekleyin:
Are you sure you don't want to create an album for these tracks?;Bu parçalar için bir albüm oluşturmak istemediğinizden emin misin?
Are you sure you don't want to create an album for this track?;Bu parca için bir albüm oluşturmak istemediğinizden eminmisiniz?
Are you sure you want to delete this album (this won't delete tracks)?;Bu albümü (bu şarkıları silmez) silmek istediğinizden emin misiniz?
Are you sure you want to delete this album?;Bu albümü silmek istediğinizden emin misiniz?
Are you sure you want to delete this playlist?;Bu oynatma listesini silmek istediğinizden emin misiniz?
Are you sure you want to delete this track?;Bu parçayı silmek istediğinizden emin misiniz?
Artist:;Sanatçı:
Artist;Sanatçı
Album;Albüm
Albums;Albümler
Albums:;Albümler:
An error occurred while deleting your album. Thanks for trying later.;Albümünüzü silinirken bir hata oluştu. Daha sonra yeniden deneyin.
An error occurred while deleting your playlist. Thanks for trying later.;Çalma listenizi silinirken bir hata oluştu. Daha sonra deneyiniz.
An error occurred while deleting your track. Thanks for trying later.;Şarkınız silinirken bir hata oluştu daha sonra yeniden deneyiniz.
An error occurred while saving your playlist. Thanks for trying later.;Çalma listenizi kaydedilirken bir hata oluştu. Daha sonra yeniden deneyin.
An error occurred while deleting you images gallery. Please try again later.;Resim galeriniz silinirken bir hata oluştu daha sonra deneyiniz.
An error occurred while loading pictures. Please try later.;Resminiz yüklenirken bir hata oluştu dah sonra yeniden deneyiniz.
An error occurred while loading videos. Please try later.;Video yüklenirken bir hata oluştu. Lütfen daha sonra deneyin.
An error occurred while saving your images gallery. Please try again later.;Görüntüler galerisi kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz.
An error occurred while saving your videos gallery. Please try again later.;Videolarınızın galerisi kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz.
Audio;Audio
buy;satınal
Channel;Kanal
Choose an album;Bir albüm seç
close;kapat
Custom;Müşteri
Delete this gallery?;Bu galeri silinsin mi?
empty;boş
Feed URL;Besleme URL'si
"Feed URL <span class=""required-entry"">*</span> :";"Besleme URL <span class=""required-entry"">*</span> :"
from;den
Gallery Name;Galeri İsmi
"Gallery Name <span class=""required-entry"">*</span> :";"Galeri İsmi <span class=""required-entry"">*</span> :"
Group;Grup
hide;gizle
I'm listening to;Dinliyorum
Images gallery has been saved successfully;Görüntüler galerisi başarıyla kaydedildi
Instagram;Instagram
Last update:;Son güncelleme:
loop;loop
Maximum size : 2000*2000 px - Allowed filetypes : jpg and png;Maksimum büyüklük : 2000*2000 px – İzin verilen dosya türleri : jpg and png
music;müzik
My pictures;Resimlerim
next;sonraki
No album found;Albüm bulunamadı
No artist found;Şarkıcı bulunamadı
No track found;Şarkı bulunamadı
on;üstünde
Parameter;Parametre
Parameter/Feed Url;Parametre/besleme URL
pause;durdur
Picasa;Picasa
Picture%s;Resim%s
play;çal
PLAYER;ÇALAR
Playlist;Şarkı listesi
Playlist title:;Şarkı listesi başlığı:
Playlists;Şarkı listesi
Playlist successfully saved.;Şarkı listesi başarıyla kaydedildi.
Podcast;Podcast
Podcast URL (iTunes format);Podcast URL (iTunes format)
previous;önceki
Read all;Hepsini oku
Required field;Gerekli alan
Search/Url;Ara/URL
share;paylaş
shuffle;karıştır
The entered name is not a valid Instagram user.;Girilen ad geçerli Instagram kullanıcı değil.
This element is not an album.;Bu eleman bir albüm değil.
track;şarkı
tracks;şarkılar
Track;şarkı
Tracks;şarkılar
Type;Çeşit
URL (.mp3):;URL (.mp3):
Videos gallery has been saved successfully;Videolar galerisi başarıyla kaydedildi
Vimeo;Vimeo
Lock the entire application?;Tüm uygulamayı kilitleyin?
Choose the features to lock:;Kilitlemek için özellikleri seçin:
Restrict Access;Erişim sınırla
Allow all the users by default:;Varsayılan olarak tüm kullanıcılara izin ver:
the gender;cinsiyet
the first name;ad
the last name;soyad
the email address;email 
the password;şifre
Access restricted to authorized members only;Erişim yetkili üyelere sınırlı
We are sorry but your account does not have enough permissions to access this page;Üzgünüz ama hesabınız bu sayfaya erişmek için yeterli izinlere sahip değil
Payments;Ödemeler
An error occurred while saving your discount. Please fill in all fields;İndiriminiz kaydedilirken bir hata oluştu. Tüm alanları doldurunuz
Are you sure you want to use this discount?;Bu indirimi kullanmak istediğinizden emin misiniz?
Closed discounts;Kapalı indirimler
Create a new discount;Yeni bir indirim oluştur
Delete this discount?;Bu indirimi sil?
Discount successfully deleted;İndirim başarıyla silindi
Discount successfully saved;İndirim başarıyla kaydedildi
Please select an end date greater than the current date.;Lütfen bugünden daha sonraki bir tarih seçin.
This discount is now used;Bu indirim artık kullanılır
Valid until;Tarihine kadar geçerli
You have already use this discount;Zaten bu indirim kullanda
You must be logged in to use a discount;İndirim kullanmak için giriş yapmalısınız
or illimited;ya da sınırlı
use only once;yanlızca bir kez kullanın
