%s - Your new password;%s - Sua nova senha
RSVP URL:;RSVP URL:
Your Facebook page ID;ID da sua página do Facebook
"Your Facebook page ID <span class=""required-entry"">*</span> :";"ID de sua página no Facebook <span class=""required-entry"">*</span> :"
Your calendar is empty;Sua calendário está vazio
iCal;iCal
Add a page;Adicionar uma página
Click on;Clique em
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Clique em uma página para adicioná-la na pasta <span id=""folder_name"" class=""folder_name"">""%s""</span>"
Click on a page to add it to the folder;Clique em uma página para adicioná-la na pasta
Close mobile display;Fechar exibição móvel
Delete this folder and all its subfolders?;Apagar esta pasta e todas as suas subpastas?
Folder title is required;Título da pasta é necessária
Folders;Pastas
Mobile display;Celular display
New folder;Nova pasta
Subtitle;Subtítulo
You cannot add this feature;Você não pode adicionar esse recurso
You must first complete the current category creation process;Primeiro, você deve completar o atual processo de criação de categoria
You will lose all unsaved changes, continue?;Você perderá todas as alterações não salvas, continuar?
to add a folder.;para adicionar uma pasta.
<strong>%s</strong> must be a numerical value<br />;<strong>%s</strong> deve ser um valor numérico<br />
<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />;<strong>%s</strong> deve ser uma data válida (e.g. dd/mm/yyyy)<br />
<strong>%s</strong> must be a valid date<br />;<strong>%s</strong> deve ser uma data válida<br />
<strong>%s</strong> must be a valid email address<br />;<strong>%s</strong> deve ser um endereço de email válido<br />
<strong>%s</strong> must be filled<br />;<strong>%s</strong>deve ser preenchido<br />
Add a field;Adicionar um campo
Add a section;Adicionar uma seção
Add an option;Adicionar uma opção
An error occurred while saving. A field can't be identified.;Ocorreu um erro ao salvar. Um campo não pode ser identificado.
Are you sure you want to remove this field?;Tem certeza de que deseja remover este campo?
Are you sure you want to remove this section?;Tem certeza de que deseja remover esta seção?
Hello,;Olá,
Checkbox;Checkbox
Choose a field type:;Escolha um tipo de campo:
Create a new field;Criar um novo campo
Date/Hour;Data/Hora
Drop down;Drop down
Edit field %s;Editar campo %s
Field name;Nome do campo
Field name:;Nome do campo:
Geolocation;Geolocalização
Manage fields;Gerenciar campos
Manage options:;Gerenciar opções:
Multiline text;Texto de múltiplas linhas
Option;Opção
Radio;Radio
Recipient email:;Destinatário e-mail:
The form has been sent successfully;O formulário foi enviada com sucesso!
You have to choose a field type.;Você tem que escolher um tipo de campo.
Your app's form;Formulário de seu aplicativo
Your form has been filled out, here are the answers:;Seu formulário foi preenchido, aqui estão as respostas:
All of your modules are up to date;Todos os seus módulos estão atualizados
Click here to send your module;Clique aqui para enviar seu módulo
Drop your module here;Envie o seu módulo aqui
"Installing module <em><span id=""label_module""></span></em>";"Instalando o módulo <em><span id=""label_module""></span></em>"
Installing;Instalando
Installing your module;Instalando seu módulo
Module successfully installed;Módulo instalado com sucesso
Module to upload;Módulo para upload
Modules Installation;Instalação de módulos
Modules successfully installed!;Módulos instalados com sucesso.
No directory provided;Nenhum diretório fornecido
No module to install;Nenhum módulo para instalar
No modules uploaded yet;Nenhum módulo carregado ainda
Please wait, we're installing your module;Por favor aguarde, estamos instalando o módulo
Please, enter a name;Por favor, insira um nome
Please, fill out all fields;Por favor, preencha todos os campos
Processing the installation;Processamento da instalação
Retry;Tentar novamente
Select a module to upload;Selecionar um módulo para upload
The database connection failed. Please, check the entered information.;A conexão com o banco falhou. Por favor, verifique as informações inseridas.
The entered password confirmation does not match the entered password.;A confirmação da senha digitada não corresponde a senha digitada.
The file %s does not exist;O arquivo %s não existe
The folder %s is not writable. Please fix this issue and try again.;A pasta %s não é gravável. Por favor corrigir esse problema e tente novamente.
The folder %s is not writable.;A pasta %s não é gravável.
The following folders are not writable: <br /> - %s;As seguintes pastas não são graváveis: <br /> - %s
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"A instalação do módulo <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>"
This process may take few minutes, please do not refresh the page;Este processo pode demorar alguns minutos, por favor, não atualize a página
Unable to extract the archive.;Não foi possível extrair o arquivo.
Unable to open the archive.;Não é possível abrir o arquivo.
Unable to open the file. Please, make sure that you sent a valid archive.;Não é possível abrir o arquivo. Por favor, certifique-se de que você enviou um arquivo válido.
Upload a module;Fazer upload de um módulo
Upload your modules;Enviar seus módulos
 is now yours!;agora é seu!
%d validated points = ;%d pontos validados = 
1 loyalty point =;1 ponto de fidelidade=
1 point;1 ponto
1 validated point = ;1 ponto validado = 
An error occurred while saving the password. Please try again later;Ocorreu um erro ao salvar a senha. Por favor, tente novamente mais tarde
An error occurred while saving the password. Please try again later.;Ocorreu um erro ao salvar a senha. Por favor, tente novamente mais tarde.
An error occurred while saving your loyalty card.;Ocorreu um erro ao salvar o seu cartão de fidelidade.
An error occurred while saving your loyalty card. Please fill all fields in.;Ocorreu um erro ao salvar o seu cartão de fidelidade. Por favor, preencha todos os campos.
An error occurred while validating point. Please try again later.;Ocorreu um erro ao validar o ponto. Por favor, tente novamente mais tarde.
Card name;Nome do cartão
Congratulations;Parabéns
Current card;Cartão atual
Delete this password?;Deletar esta senha?
Employee's name:;Nome do empregado:
Employee's name;Nome do empregado
Employee's password:;Senha empregado:
Employee's password;Senha empregado
Enter the password;Digite a senha
My new loyalty card;Meu novo cartão de fidelidade
My passwords;Minhas senhas
Number of points;Número de pontos
point to validate;ponto para validar
points to validate;pontos para validar
Please enter a name;Por favor, indique um nome
Please enter the password;Digite a senha
Please show your phone to the store person so that he enters his password;Por favor, peça ao funcionário da loja valide seu ponto através da senha.
Point%s successfully validated;Ponto%s validado com sucesso
Previous cards;Cartões anteriores
Reward;Recompensa
We are sorry but this card is temporarily blocked;Lamentamos, mas este cartão está bloqueado temporariamente
Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point;Senha errada. Tenha cuidado! %d tentativas sucessivas%s antes de bloquear o seu cartão. Peça que ao funcionário da loja para validar seu cartão.
Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point;Senha errada.<br />Tenha cuidado!%d tentativas sucessivas%s antes de bloquear o seu cartão.<br /> Peça que ao funcionário da loja para validar seu cartão.
You have exceeded the number of attempts to validate points. Your card is locked for 24h;Você excedeu o número de tentativas para validar pontos. Seu cartão está bloqueado por 24h
You just finished your card;Você acabou de validar todo o seu cartão
You must be logged in to validate points;Você precisa estar logado para validar pontos
Your loyalty card has been saved successfully;O seu cartão de fidelidade foi salvo com sucesso
Your password must be 4 digits;Sua senha deve ser de 4 dígitos
point;ponto
point to validate;ponto para validar
points to validate;pontos para validar
Cancelled;Cancelado
%s - Customer Service;%s - Serviço cliente
20.00%;20.00%
Add a picture;Adicionar uma imagem
Add options;Adicionar opções
An error occurred while proceeding the payment. Please, try again later.;Ocorreu um erro no processo de pagamento. Por favor, tente novamente mais tarde.
An error occurred while proceeding your order. Please, check the following information:;Ocorreu um erro ao realizar o seu pedido. Por favor, verifique as seguintes informações:
Are you sure you want to close without saving;Tem certeza de que quer encerrar sem salvar
Are you sure you want to delete this category and all its subcategories?;Tem certeza de que deseja excluir esta categoria e todas as suas subcategorias?
Are you sure you want to delete this store?;Tem Certeza de que deseja excluir esta Loja?
Are you sure you want to delete this store?;Tem certeza de que deseja excluir esta loja?
Are you sure you want to delete this tax?;Tem certeza de que deseja excluir este imposto?
Are you sure you want to remove this product?;Tem certeza de que deseja remover este produto?
At least one option is required:;Pelo menos uma opção é necessária:
Carry Out;Executar
Cart;Carrinho
Cash;Dinheiro
Category;Categoria
Category successfully saved.;Categoria salva com sucesso
Check;Verificar
Choose a delivery method:;Alterar o método de entrega:
Choose a payment method:;Alterar o método de pagamento:
Choose a store:;Alterar a Loja:
Completed;Completo
Connected Printers;Impressoras Conectadas
Continue shopping;Continuar comprando
Create a new options group;Criar um novo grupo de opções
Create a new product;Criar um novo produto
Create a new tax;Criar um novo imposto
Create a store;Criar uma loja
Credit card (pay upon pickup or delivery);Cartão de crédito (pagar na recebimento ou entrega)
Credit Card by phone;Cartão de crédito por telefone
Customer;Cliente
Customer;Cliente
Customer Service;Serviço Cliente
Delivery;Entrega
Delivery;Delivery
Delivery area;Área de Entrega
Delivery fees;Taxa de Entrega
Delivery fees;Taxa de Entrega
Delivery fees;Taxa de Entrega
Delivery Fees;Taxa de Entrega
Delivery fees:;Taxa de Entrega:
Delivery Method;Formas de Entrega
Delivery methods;Formas de Entrega
Delivery methods:;Formas de Entrega:
Delivery radius;Raio de Entrega
Delivery radius:;Raio de Entrega:
Delivery time;Horário de Entrega
Delivery time;Horário de Entrega
Delivery time:;Horário de Entrega:
Details;Detalhes
e.g., Sauces;ex: Molhos
Edit a store;Editar a loja
Edit the options group %s;Editar opções de grupo %s
Edit the product %s;Editar o produto %s
Edit the tax %s;Editar o imposto %s
Free delivery starting from;Entrega gratuita a partir de
Free delivery starting from:;Entrega gratuita a partir de:
Here is the detail of the order;Aqui está o detalhe do pedido
Here is the detail of your order;Aqui está o detalhe de seu pedido
Hours of operation;Horário de funcionamento
Hours of operation:;Horário de funcionamento:
In store;Na loja
Meal Voucher;Vale-Presente
Minimum order;Pedido mínimo
Minimum order:;Pedido mínimo:
My Cart;Meu Carrinho
My cart is empty;Meu carrinho está vazio
My categories;Minhas categorias
My information;Minhas informações
My orders;Meus pedidos
My product's categories;Minhas categorias de produto
My product's options;Minhas opções de produto
My products;Meus produtos
My stores;Minhas lojas
My taxes;Meus impostos
Name of the options group:;Nome do grupo opções:
New order from the application;Novo pedido a partir do aplicativo
Number;Número
Option name;Nome opção
Option name:;Nome opção:
Options group successfully deleted;Grupo de Opções excluído com sucesso
Options group successfully saved;Grupo de Opções salvo com sucesso
Order confirmation;Confirmação de pedido
Order details;Detalhes pedido
Order Number;Número pedido
Order successfully saved;Pedido salvo com sucesso
Orders;Pedidos
Paid;Pago
Password;Senha
Password:;Senha:
Payment;Pagamento
Payment Method;Forma de Pagamento
Payment methods:;Forma de Pagamento:
Paypal;Paypal
Pending payment;Pagamento pendente
Picture;Imagem
Please choose a delivery method;Por favor altere a forma de entrega
Please choose a payment method;Por favor altere a forma de pagamento
Please, enter an email address for the store %s;Por favor, insira um endereço de e-mail para a loja %s
Price;Preço
Price: %s;Preço: %s
Printer successfully saved;Impressora salva com sucesso.
Proceed;Prosseguir
Product;Produto
Product;Produto
Product name;Nome produto
Product name:;Nome produto:
Product successfully saved;Produto salvo com sucesso
Qty;Qtde
Qty;Qtde
Qty: %s;Qtde: %s
Radius in Km;Raio em Km
Review;Revisão
Settings;Configurações
Signature;Assinatura
Signature:;Assinatura:
Status;Status
Store information;Informações Loja
Store name;Nome Loja
Store name:;Nome Loja:
Store successfully deleted;Loja deletada com sucesso
Store successfully saved;Loja salva com sucesso
Stores;Lojas
Subtotal;Subtotal
Subtotal;Subtotal
Tax;Imposto
Tax;Imposto
Tax name;Nome imposto
Tax name:;Nome imposto:
Tax rate;Taxa de imposto
Tax rate:;Taxa de imposto:
Tax successfully deleted;Imposto deletado com sucesso
Tax successfully saved;Imposto salvo com sucesso
Tax:;Imposto:
Thank you!;Obrigado!
The delivery method;Forma de Entrega
The following options are required:<br />%s;As seguintes opções são necessárias:<br />%s
The option %s is required;A opção %s é obrigatória.
The payment has been cancelled, something wrong happened? Feel free to contact us;O pagamento foi cancelado, algo de errado aconteceu? Não hesite em contatar-nos
The payment method;Forma de pagamento
Time in minutes;Tempo em minutos
Total;Total
Total;Total
Total;Total
Total Excl. Tax;Total Excl. imposto
Total Excl. Tax;Total Excl. imposto
Total Tax;Total imposto
Total: %s;Total: %s
Unit price;Preço unitário
Unit Price;Preço unitário
Username;Nome de Usuário
Username:;Nome de Usuário:
We apologize but the payment method %s is currently not available;Pedimos desculpas, mas a forma de pagamento %s está indisponível no momento
We thank you for your order. A confirmation email has been sent;Agradecemos por seu pedido. Um e-mail de confirmação foi enviado
You don't have any categories yet;Você não tem nenhuma categoria ainda
You have a connected printer? Enter the email address;Você tem uma impressora conectada? Digite o endereço de email
You have a connected printer? Enter the email address for each store;Você tem uma impressora conectada? Digite o endereço de e-mail para cada loja
Your address;Seu endereço
Your email address;Seu endereço de e-mail
Your firstname;Seu Nome
Your lastname;Seu sobrenome
Your phone number;Seu telefone
+ Add a track;+ Add uma faixa
Add albums and tracks to the playlist:;Adicionar álbuns e faixas para a lista de reprodução:
Are you sure you don't want to create an album for these tracks?;Tem certeza de que não quer criar um álbum para essas faixas?
Are you sure you don't want to create an album for this track?;Tem certeza de que não quer criar um álbum para esta faixa?
Are you sure you want to delete this album (this won't delete tracks)?;Tem certeza de que deseja excluir este álbum (isso não irá excluir as faixas)?
Are you sure you want to delete this album?;Tem certeza de que deseja excluir este álbum?
Are you sure you want to delete this playlist?;Tem certeza de que deseja excluir esta playlist?
Are you sure you want to delete this track?;Tem certeza de que deseja excluir esta faixa?
Artist:;Artista:
Artist;Artista:
Album;Álbum
Albums;Álbuns
Albums:;Álbuns:
An error occurred while deleting your album. Thanks for trying later.;Ocorreu um erro durante a exclusão de seu álbum. Obrigado. Tente mais tarde.
An error occurred while deleting your playlist. Thanks for trying later.;Ocorreu um erro ao excluir sua playlist. Obrigado. Tente mais tarde.
An error occurred while deleting your track. Thanks for trying later.;Ocorreu um erro durante a exclusão de sua faixa. Obrigado. Tente mais tarde.
An error occurred while saving your playlist. Thanks for trying later.;Ocorreu um erro ao salvar a sua playlist. Obrigado. Tente mais tarde.
An error occurred while deleting you images gallery. Please try again later.;Ocorreu um erro ao excluir a galeria de imagens. Por favor, tente novamente mais tarde.
An error occurred while loading pictures. Please try later.;Ocorreu um erro ao carregar imagens. Por favor, tente mais tarde.
An error occurred while loading videos. Please try later.;Ocorreu um erro ao carregar vídeos. Por favor, tente mais tarde.
An error occurred while saving your images gallery. Please try again later.;Ocorreu um erro ao salvar a sua galeria de imagens. Por favor, tente novamente mais tarde.
An error occurred while saving your videos gallery. Please try again later.;Ocorreu um erro ao salvar a sua galeria de vídeos. Por favor, tente novamente mais tarde.
Audio;Aúdio
buy;comprar
Channel;Canal
Choose an album;Alterar um álbum
close;fechar
Custom;Custom
Delete this gallery?;Deletar a galeria?
empty;vazio
Feed URL;Feed URL
"Feed URL <span class=""required-entry"">*</span> :";"Feed URL <span class=""required-entry"">*</span> :"
from;a partir de
Gallery Name;Nome da Galeria
"Gallery Name <span class=""required-entry"">*</span> :";"Nome da Galeria <span class=""required-entry"">*</span> :"
Group;Grupo
hide;ocultar
I'm listening to;Estou ouvindo
Images gallery has been saved successfully;Galeria de Imagens foi salva com sucesso
Instagram;Instagram
Last update:;Última atualização:
loop;loop
Maximum size : 2000*2000 px - Allowed filetypes : jpg and png;Tamanho máximo : 2000*2000 px - Tipos de arquivo permitidos : jpg and png
music;música
My pictures;Minhas imagens
next;próximo
No album found;Nenhum álbum encontrado
No artist found;Nenhum artista encontrado
No track found;Nenhuma faixa encontrada
on;em
Parameter;Parâmetro
Parameter/Feed Url;Parâmetro/Feed Url
pause;pause
Picasa;Picasa
Picture%s;Imagem%s
play;play
PLAYER;PLAYER
Playlist;Playlist
Playlist title:;Título Playlist:
Playlists;Playlists
Playlist successfully saved.;Playlist salvo com sucesso.
Podcast;Podcast
Podcast URL (iTunes format);Podcast URL (iTunes formato)
previous;anterior
Read all;Leia tudo
Required field;Campo obrigatório
Search/Url;Pesquisa/Url
share;compartilhe
shuffle;aleatório
The entered name is not a valid Instagram user.;O nome informado não é um usuário válido do Instagram.
This element is not an album.;Este elemento não é um álbum.
track;faixa
tracks;faixas
Track;Faixa
Tracks;Faixas
Type;Tipo
URL (.mp3):;URL (.mp3):
Videos gallery has been saved successfully;Galeria de Vídeos foi salva com sucesso
Vimeo;Vimeo
Lock the entire application?;Bloquear o aplicativo inteiro?
Choose the features to lock:;Escolha os recursos para bloquear:
Restrict Access;Acesso Restrito
Allow all the users by default:;Permitir todos os usuários por padrão:
the gender;Sexo
the first name;Nome
the last name;Sobrenome
the email address;Endereço de e-mail
the password;senha
Access restricted to authorized members only;Acesso restrito a membros autorizados apenas
We are sorry but your account does not have enough permissions to access this page;Lamentamos, mas a sua conta não tem permissões suficientes para acessar este recurso.
Payments;Pagamentos
An error occurred while saving your discount. Please fill in all fields;Ocorreu um erro ao salvar o seu desconto. Por favor, preencha todos os campos
Are you sure you want to use this discount?;Tem certeza de que deseja usar esse desconto?
Closed discounts;Descontos fechados
Create a new discount;Criar um novo desconto
Delete this discount?;Deletar este desconto?
Discount successfully deleted;Desconto deletado com sucesso
Discount successfully saved;Desconto salvo com sucesso
Please select an end date greater than the current date.;Por favor, selecione uma data de término maior do que a data atual.
This discount is now used;Este desconto foi usado agora
Valid until;Válido até
You have already use this discount;Você já usou este desconto
You must be logged in to use a discount;Você precisa estar logado para usar um desconto
or illimited;ou ilimitado
use only once;usar apenas uma vez
you'll be able to remove this promotion later;você vai ser capaz de remover esta promoção depois
Additionnal Information;Informações adicionais
And a radius (in Km):;E um raio (emKm):
Android;Android
Creation date;Data de criação
Enter a location:;Digite um local:
GCM Key;GCM Key
I want to send it;Eu quero enviar
Keys successfully saved;Chaves salvas com sucesso
Message;Mensagem
Message:;Mensagem:
Pending;Pendente
Push Notifications;Notificações Push
Push Notifications Settings;Configurações de Notificação Push
Radius;Raio
Send to a specific location;Enviar para um local específico
Send to all my users;Enviar para todos os usuários
Sender ID;Enviar ID
Sending date;Enviando data
The duration limit must be higher than the sent date;O limite de duração deve ser maior do que a data de envio
Your app must be published to send a push notification.;Seu aplicativo deve ser publicado para enviar uma notificação de envio.
Your message has been saved successfully and will be sent at the entered date;Sua mensagem foi salva com sucesso e será enviado na data que você digitou.
Your message has been saved successfully and will be sent in a few minutes;Sua mensagem foi salva com sucesso e será enviada em poucos minutos
and users entering the area;e os usuários que entrarem na área
for a limited period;por um período limitado
now;agora
on a specific date;em uma data específica
%s ago;%s atrás
An error occurred while saving your RSS feed;Ocorreu um erro ao salvar o seu feed RSS
Display feed pictures whenever possible;Exibir imagens do feed sempre que possível
Enter the URL of this RSS feed;Digite a URL do feed RSS
Found feeds;Feeds encontrados
No RSS feed could be found;Nenhum feed RSS foi encontrado
RSS feed successfully saved;Feed RSS salvo com sucesso
Show article;Mostrar artigo
day;dia
hour;hora
minute;minuto
Action;Ação
App Name;Nome Aplicativo
Client;Cliente
Date;Data
Invoice;Fatura
Invoice %s;Fatura %s
Invoice N°;Fatura NÂ°
List of your invoices;Lista de suas faturas
My Invoices;Minhas faturas
Order;Pedido
Orders;Pedidos
Paid At;Pago em
Paid at:;Pago em:
Price Excl. Tax;Preço Excl. Imposto
Qty;Qtde
This feature is not ready yet. Please try again later.;Este recurso ainda não está pronto. Por favor, tente novamente mais tarde.
Total Excl. Tax;Total Excl. Imposto
You don't have any invoices yet;Você não tem nenhuma fatura ainda
An error occurred while loading the videos. Please try again later.;Ocorreu um erro ao carregar os vídeos. Por favor, tente novamente mais tarde.
Enter your Facebook Fan Page Id;Digite a ID de sua Fanpage no Facebook
"Enter your Facebook Fan Page Id <span class=""required-entry""> *</span>:";"Digite a ID de sua Fanpage no Facebook <span class=""required-entry""> *</span>:"
%s point%s;%s ponto%s
A month;Um mês
A week;Uma semana
Challengers;Competidores
Current game;Jogo Atual
Currently no challengers;Atualmente não há competidores
Game Name;Nome do Jogo
Game successfully saved;Jogo salvo com sucesso
Next game;Próximo Jogo
On the;No
Period;Período
Periodicity;Periodicidade
Publication date;Data Publicação
Rank of the month;Ranking do mês
Rank of the week;Ranking da semana
Team Leader;Líder do Jogo
Source Code;Página Personalizada
Insert your HTML code:;Inserir seu código HTML:
%s Subscription for %s;%s Assinatura para %s
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Clique aqui</a> para voltar à sua lista de pedidos"
Active;Ativo
An error occurred while processing your order. Please, try again later.;Ocorreu um erro ao processar seu pedido. Por favor, tente novamente mais tarde.
An error occurred while saving. Please try again later;Ocorreu um erro ao salvar. Por favor, tente novamente mais tarde
An error occurred while saving. The selected subscription is not valid.;Ocorreu um erro ao salvar. A assinatura selecionada não é válida.
Are you sure you want to delete this plan?;Tem certeza de que deseja excluir este plano?
Billing Address;Endereço de cobrança
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Ao marcar esta caixa, você concorda <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">com os nossos termos e condições</a>"
Charged to your client every month;Cobrados do seu cliente a cada mês
Charged to your client every year;Cobrados do seu cliente a cada ano
Charged to your client when placing the order;Cobrados do seu cliente no momento do pedido
Choose the subscription that suits you best:;Escolha a assinatura que melhor lhe convier:
Create a new subscription;Criar uma nova assinatura
Creation;Criação
Describe here this plan. Will be displayed on the front end;Descrição do Plano. Será exibido no Front End
Each price must be entered excluding tax;Cada preço deve ser digitado excluindo impostos
Edit the subscription %s;Editar a assinatura %s
Expiration;Expiração
Expiration date;Data de Expiração
Give a name to this plan. Will be displayed on the front end;Dê um nome para este plano. Será exibido no Front End
List of your plans;Lista de planos
List of your subscriptions;Lista de Assinaturas
None;Nenhum
One-off;One-off
Order's details;Detalhes Pedido's
Payment;Pagamento
Payment Option;Opções de Pagamento
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Pagamento protegido por <img src=""%s"" width=""100"" title=""Paypal"" />"
Please, enter a company;Por favor, insira uma empresa
Please, enter a country;Por favor, insira um país
Please, enter a description.;Por favor, insira uma descrição.
Please, enter a name.;Por favor, insira um nome.
Please, enter an address;Por favor, insira um endereço
Pricing;Preço
Proceed to payment?;Continuar Pagamento?
Recurring;Recorrente
Setup Fee;Taxa de Instalação
Setup fee;Taxa de Instalação
Subscription;Assinatura
Subscription successfully saved;Assinatura salva com sucesso
Subtotal;Subtotal
Thanks!;Obrigado!
The monthly price is not a valid price (e.g. 12.34);O preço mensal não é um preço válido (ex: 12.34)
The setup fee is not a valid price (e.g. 12.34);The setup fee is not a valid price (e.g. 12.34)
The yearly price is not a valid price (e.g. 12.34);O preço anual não é um preço válido (ex: 12.34)
This subscription is active;Esta assinatura é ativa
An error occurred while processing the payment. For more information, please feel free to contact us.;Ocorreu um erro ao processar o pagamento. Para mais informações, não hesite em contatar-nos.
VAT Number;VAT Número
You already have a subscription for this application;Você já tem uma assinatura para este aplicativo
You don't have any subscriptions yet;Você não tem nenhuma assinatura ainda
You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.;Você está quase pronto! Após a assinatura, vamos publicar seu aplicativo tanto na AppStore e no Google Play.
Your VAT Number is not valid;Seu número VAT não é válido
Your order has been canceled. If you need any help to place your order, please feel free to contact us.;O seu pedido foi cancelado. Se você precisar de alguma ajuda para fazer seu pedido, por favor, não hesite em contatar-nos.
Your order has been successfully paid. Your application will be published very soon.;Seu pedido foi pago com sucesso. Seu aplicativo será publicado muito em breve.
Your subscription must have at least one price;Sua assinatura deve ter pelo menos um preço
price;preço
<b>File types:</b> %s<br /><b>Recommended size:</b> %s;<b>Tipos de Arquivo:</b> %s<br /><b>Tamanho Recomendado:</b> %s
Click here to send your favicon;Clique aqui para enviar o seu favicon
Click here to send your logo;Clique aqui para enviar o seu logotipo
Communications;Comunicação
Current favicon;Favicon atual
Current logo;Logo atual
Display a link to your clients to your support platform;Exibir um link para os seus clientes para a sua plataforma de apoio
Drop your favicon here;Solte sua favicon aqui
Drop your logo here;Solte o seu logotipo aqui
Sales;Vendas
Sales Email Address;Endereço Vendas e-mail
Sender's email address of the emails sent by the site to your clients;Remetente de e-mail dos e-mails enviados pelo site para seus clientes
Sender's name of the emails sent by the site to your clients;Nome do remetente dos e-mails enviados pelo site para seus clientes
Support Email Address;Suporte E-mail
The folder /images/default is not writable.;A pasta /images/ padrão não é gravável.
Your Location;Sua Localização
Your Platform;Sua Plataforma
Your company;Sua Empresa
List of your taxes;Lista de seus impostos
Please select a country;Por favor, selecione um país
Please, enter a tax rate.;Por favor, insira uma taxa de imposto.
Please, enter a valid tax rate.;Por favor, insira uma taxa de imposto válido.
Rate;Taxa
Remove;Remover
You don't have created any taxes yet;Você não criou nenhum imposto ainda
TEMPLATES;TEMPLATES
Add a link;Adicione um link
An error occurred while saving your picto. Please try againg later.;Ocorreu um erro ao salvar sua imagem. Por favor tente mais tarde.
Are you sure you want to delete this link?;Tem certeza de que deseja excluir este link?
Are you sure you want to delete this picture?;Tem certeza de que deseja apagar esta imagem?
Link;Link
Link has been successfully deleted;O link foi excluído com sucesso
Link has been successfully saved;O link foi salvo com sucesso
Link:;Link:
Picto;Imagem
The image has been successfully deleted;A imagem foi excluída com sucesso
The image has been successfully saved;A imagem foi salva com sucesso
Your links;Seus links
An error occurred while accessing your Wordpress website. Please, verify the domain name %s;Ocorreu um erro ao acessar o seu site Wordpress. Por favor, verifique o nome de domínio %s
Categories successfully saved;Categorias salvas com sucesso
Click here to download our Wordpress plugin;Clique aqui para baixar nosso plugin Wordpress
Enter your Wordpress URL:;Digite sua URL Wordpress:
Loading categories;Carregando categorias
We are sorry but no category has been detected on your Wordpress website.;Lamentamos, mas nenhuma categoria foi encontrada em seu site Wordpress.
We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.;Lamentamos, mas nosso plugin Wordpress não foi encontrado em seu site. Por favor, certifique-se de que esteja corretamente instalado e ativado.
Wordpress;Wordpress
