%s - Your new password;%s – Uw nieuwe wachtwoord
"White Label Admin Panel";"Interface en Marque Blanche"
"Touch To Call";"Touch To Call"
"Calling a store is just a touch away. You can integrate the button into your application in one click.";"Quoi de mieux qu'un appel en une touche pour joindre un commerce ? En un clic, intégrez un bouton d'appel sur vos applications mobiles."
"Clients will never have to hunt for the store number again.";"Fini les longues recherches de numéros de téléphone."
Geolocation;Géo-localisation
"Integrate your store address and enable your clients to find it directly using the mobile application.";"Intégrez très simplement l'adresse d'un commerce et permettez aux clients de le situer directement depuis l'application mobile."
"Sell all features";"Voir toutes les fonctionnalités"
"In a matter of minutes, create Iphone and Android native apps, as well as a mobile website for many small businesses. Thanks to our full white label system, you keep a total control of your customers.";"Créez en quelques minutes des applications mobiles pour les commerçants. Aucune connaissance technique n'est requise et nous publions votre application dès qu'elle est prête."
Restaurants;Restaurants
Sports;Sports
Bars;Bars
"Fashion / Clothing";"Mode / Vêtements"
"Fashion<br />Clothing";Mode
"Snacking / Restaurants";"Snacking / Restaurants"
"Snacking<br />Restaurants";"Snacking<br />Restaurants"
"Hotels / Pensions";"Hôtels / Gîtes"
"Hotels<br />Pensions";"Hôtels<br />Gîtes"
"Real Estate";Immobilier
"Hair / Beauty";"Coiffeurs / beauté"
"Hair<br />Beauty";Coiffeurs
"Bars / Cafes";"Bars / Cafés"
"Bars<br />Cafes";"Bars<br />Cafés"
"Our applications can run on all devices:";"Nous supportons toutes les plateformes"
"IPhones, Android and HTML5 for users of Windows 8 and BlackBerry.<br />You have nothing to worry about. Tiger will do the work for you.";"Iphones, Android, et HTML5 pour toucher les utilisateurs de Windows 8 et BlackBerry.<br />Ne vous souciez de rien, Tiger s'occupe de créer du joli code pour vous."
"Effective applications + Fair price = Happy customers";"Apps efficaces + Prix minime = Des clients heureux"
"I was skeptical at first, but I have to admit that you deliver. My clients' smiling faces are proof of that.";"Au début j'étais sceptique, mais maintenant j'avoue vous êtes au top. J'aime voir la tête ravie de mes clients."
"Freelance developer";"Développeur freelance"
"Your solution helped me develop my product portfolio, and sales are booming! Thanks again!";"Merci encore, j'ai pu développer mon portefeuille de produits avec votre solution et ça se vend très bien !"
"Software supplier";"Distributeur logiciel"
"I only wish that our competitors couldn't use your solution (...) it's a dream come true for us.";"J'aimerai qu'une seule chose c'est que nos concurrents n'utilisent pas votre solution (...) on en rêvait."
"Project manager";"Chef de projet"
Pricing;Prix
All of your modules are up to date;Al uw modules zijn up to date
Click here to send your module;Klik hier om uw module te selecteren op uw pc
Drop your module here;Laat hier uw module vallen
"Installing module <em><span id=""label_module""></span></em>";"Installeert module <em><span id=""label_module""></span></em>"
Installing;Installeren
Installing your module;Installeert module
Module successfully installed;Module met succes geïnstalleerd
Module to upload;Modules klaar voor upload
Modules Installation;Module installatie
Modules successfully installed!;Module met succes geïnstalleerd!
No directory provided;Geen directory aangegeven
No module to install;Geen modules te installeren
No modules uploaded yet;Nog geen modules geüpload
Please wait, we're installing your module;Een ogenblik geduld we installeren de module
Please, enter a name;Vul een naam in
Please, fill out all fields;Vul alle velden in
Processing the installation;Verwerken van de installatie
Retry;Opnieuw
Select a module to upload;Selecteer een module om te uploaden
The database connection failed. Please, check the entered information.;De database verbinding mislukt. Alstublieft  controleer de ingevulde informatie. 
The entered password confirmation does not match the entered password.;Het bevestiging wachtwoord komt niet overeen met het eerst ingevulde wachtwoord.
The file %s does not exist;Het bestand %s bestaat niet
The folder %s is not writable. Please fix this issue and try again.;De map %s  is niet beschrijfbaar. Verhelp dit probleem en probeer het opnieuw. 
The folder %s is not writable.;De map %s  is niet beschrijfbaar. Verhelp dit probleem en probeer het opnieuw. 
The following folders are not writable: <br /> - %s;De volgende mappen zijn niet beschrijfbaar: <br /> - %s
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"De installatie van de module <span id=""installation_failed_module_name""></span> is mislukt: <span id=""installation_failed_because""> </ span> "
This process may take few minutes, please do not refresh the page;Dit proces kan enkele minuten duren pagina niet vernieuwen
Unable to extract the archive.;Kan archief niet uit pakken
Unable to open the archive.;Kan archief niet openen
Unable to open the file. Please, make sure that you sent a valid archive.;Kan het bestand te openen. Zorg ervoor dat u een geldig archief (bestand) heeft gestuurd.
Upload a module;Upload een module
Upload your modules;Upload uw modules
 is now yours!;Is nu van u
%d validated points = ;%d goedgekeurde punten =
1 loyalty point =;1 Loyaliteit punt =
1 point;1 punt
1 validated point = ;1 goedgekeurd punt =
An error occurred while saving the password. Please try again later;Er is een fout opgetreden tijdens het opslaan van het wachtwoord. Probeer het later opnieuw.
An error occurred while saving the password. Please try again later.;Er is een fout opgetreden tijdens het opslaan van het wachtwoord. Probeer het later opnieuw.
An error occurred while saving your loyalty card.;Er is een fout opgetreden tijdens het opslaan van uw klantenkaart.
An error occurred while saving your loyalty card. Please fill all fields in.;Er is een fout opgetreden tijdens het opslaan van uw klantenkaart. Vul alle velden in.
An error occurred while validating point. Please try again later.;Er is een fout opgetreden bij het keuren van de punten. Probeer het later opnieuw.
Card name;Kaart naam
Congratulations;Gefeliciteerd
Current card;Huidige kaart
Delete this password?;Verwijder dit wachtwoord
Employee's name:;Naam van werknemer:
Employee's name;Naam van werknemer:
Employee's password:;Wachtwoord werknemer:
Employee's password;Wachtwoord werknemer
Enter the password;Vul het wachtwoord in
My new loyalty card;Mijn nieuwe klantenkaart 
My passwords;Mijn wachtwoorden
Number of points;Aantal punten 
point to validate;punten valideren
points to validate;punten valideren
Please enter a name;Vul een naam in
Please enter the password;Vul het wachtwoord in
Please show your phone to the store person so that he enters his password;laat je telefoon aan de winkel medewerker zien zodat hij zijn wachtwoord kan invullen
Point%s successfully validated;Punten%s met succes gekeurd
Previous cards;Vorige kaarten
Reward;Beloning
We are sorry but this card is temporarily blocked;Sorry uw kaart is tijdelijk geblokkeerd
Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point;Verkeerd wachtwoord. Wees voorzichtig!  %d nog %s resterende pogingen vóór vergrendeling van uw kaart. Vraag aan het winkelpersoneel voor uw punt te valideren
Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point;Verkeerd wachtwoord. <br/> Wees voorzichtig!  %d nog %s resterende pogingen vóór vergrendeling van uw kaart. <br /> Vraag aan het winkelpersoneel voor uw punt te valideren
You have exceeded the number of attempts to validate points. Your card is locked for 24h;U hebt het aantal pogingen om punten te valideren overschreden. Uw kaart is geblokkeerd voor 24 uur
You just finished your card;U heeft uw kaart vol
You must be logged in to validate points;Je moet ingelogd zijn om punten te valideren
Your loyalty card has been saved successfully;Uw klantenkaart is succesvol opgeslagen
Your password must be 4 digits;Uw wachtwoord moet uit 4 cijfers bestaan
point;punt
point to validate;Punt te valideren
points to validate;Punten te valideren
Cancelled;Geannuleerd
%s - Customer Service;%s - Klantenservice
20.00%;20.00%
Add a picture;Voeg een afbeelding toe
Add options;Opties toe te voegen
An error occurred while proceeding the payment. Please, try again later.;Er is een fout opgetreden bij het betalen. Probeer het later opnieuw.
An error occurred while proceeding your order. Please, check the following information:;Er is een fout opgetreden bij het bestellen. Controleer de volgende gegegevens:
Are you sure you want to close without saving;Weet u zeker dat u wilt sluiten zonder op te bewaren
Are you sure you want to delete this category and all its subcategories?;Weet u zeker dat u deze categorie en alle subcategorieën wilt verwijderen?
Are you sure you want to delete this store?;Weet u zeker dat u deze winkel wilt verwijderen?
Are you sure you want to delete this store?;Weet u zeker dat u deze winkel wilt verwijderen?
Are you sure you want to delete this tax?;Weett u zeker dat u deze belasting wilt verwijderen?
Are you sure you want to remove this product?;Weett u zeker dat u dit product wilt verwijderen?
At least one option is required:;Ten minste één optie is vereist:
Carry Out;Uitvoeren
Cart;Winkelwagen
Cash;Contant
Category;Categorie
Category successfully saved.;Categorie succesvol opgeslagen.
Check;
Choose a delivery method:;Kies een levering methode:
Choose a payment method:;Kies een betaalmethode:
Choose a store:;Kies een winkel:
Completed;Voltooid
Connected Printers;Aangesloten printers
Continue shopping;Verder met winkelen
Create a new options group;Maak een nieuwe keuze groep
Create a new product;Maak een nieuw product
Create a new tax;Maak een nieuwe belasting
Create a store;Maak een winkel
Credit card (pay upon pickup or delivery);Creditcard (betalen bij afhalen of afleveren)
Credit Card by phone;Credit Card via de telefoon
Customer;Klant
Customer;Klant
Customer Service;Klantenservice
Delivery;Levering
Delivery;Levering
Delivery area;Leveringsgebied
Delivery fees;Verzendingskosten
Delivery fees;Verzendingskosten
Delivery fees;Verzendingskosten
Delivery Fees;Verzendingskosten
Delivery fees:;Verzendingskosten:
Delivery Method;Levering Wijze
Delivery methods;Wijze van levering
Delivery methods:;Levering methoden:
Delivery radius;Levering straal
Delivery radius:;Levering straal:
Delivery time;Levertijd
Delivery time;Levertijd
Delivery time:;Levertijd:
Details;Details
e.g., Sauces;bijv, Sauzen
Edit a store;Bewerk een winkel
Edit the options group %s;Bewerk de opties groep %s
Edit the product %s;Bewerk het product %s
Edit the tax %s;Bewerk de belasting % s
Free delivery starting from;Gratis levering vanaf
Free delivery starting from:;Gratis levering vanaf:
Here is the detail of the order;Hier zijn de details van de bestelling
Here is the detail of your order;Hier zijn de details van je bestelling
Hours of operation;Openingstijden
Hours of operation:;Openingstijden:
In store;Op voorraad
Meal Voucher;Maaltijdcheque
Minimum order;Minimum order
Minimum order:;Minimum order:
My Cart;Mijn winkelwagen
My cart is empty;Mijn winkelwagen is leeg
My categories;Mijn categorieën
My information;Mijn gegevens
My orders;Mijn bestellingen
My product's categories;Mijn product categorieën
My product's options;Mijn product opties
My products;Mijn producten
My stores;Mijn winkels
My taxes;Mijn belastingen
Name of the options group:;Naam opties groep
New order from the application;Nieuwe order van de App
Number;Nummer
Option name;Opties naam
Option name:;Opties naam:
Options group successfully deleted;Groep opties succesvol verwijderd
Options group successfully saved;Groep opties succesvol bewaard
Order confirmation;Bestel bevestiging
Order details;Bestel details
Order Number;Bestelnummer
Order successfully saved;Bestelling bewaart
Orders;Bestellingen
Paid;Betaald
Password;Wachtwoord
Password:;Wachtwoord:
Payment;Betaling
Payment Method;Betalingsmethode
Payment methods:;Betaalmethoden:
Paypal;Paypal
Pending payment;In afwachting van betaling
Picture;Afbeelding
Please choose a delivery method;Kies een levering methode
Please choose a payment method;Kies een betaalmethode
Please, enter an email address for the store %s;Vul een e-mailadres voor de winkel %s
Price;Prijs
Price: %s;Prijs: %s
Printer successfully saved;Printer succesvol opgeslagen
Proceed;Verdergaan
Product;Product
Product;Product
Product name;Productnaam
Product name:;Productnaam:
Product successfully saved;Product succesvol opgeslagen
Qty;Aantal
Qty;Aantal
Qty: %s;Aantal: %s
Radius in Km;Radius in Km
Review;Recensie
Settings;Instellingen
Signature;Handtekening
Signature:;Handtekening:
Status;Status
Store information;Winkelgegevens
Store name;Naam van de winkel
Store name:;Naam winkel:
Store successfully deleted;Winkel succesvol verwijderd
Store successfully saved;Winkel succesvol opgeslagen
Stores;Winkels
Subtotal;Subtotaal
Subtotal;Subtotaal
Tax;belasting
Tax;belasting
Tax name;Belasting naam
Tax name:;Belasting naam:
Tax rate;Belastingtarief
Tax rate:;Belastingtarief:
Tax successfully deleted;Belasting succesvol verwijderd
Tax successfully saved;Belasting succesvol opgeslagen
Tax:;BTW:
Thank you!;Dankjewel!
The delivery method;Levering Wijze
The following options are required:<br />%s;De volgende opties zijn verplicht: <br />% s
The option %s is required;Deze optie is %s verplicht
The payment has been cancelled, something wrong happened? Feel free to contact us;De betaling is geannuleerd, er iets mis is er gebeurd? Voel je vrij om ons te contacteren
The payment method;De betaalmethode
Time in minutes;Tijd in minuten
Total;Totaal
Total;Totaal
Total;Totaal
Total Excl. Tax;Totaal Excl. BTW
Total Excl. Tax;Totaal Excl. BTW
Total Tax;Total inclusief BTW
Total: %s;Totaal: %s
Unit price;Stukprijs
Unit Price;Prijs per stuk
Username;Gebruikersnaam
Username:;Gebruikersnaam:
We apologize but the payment method %s is currently not available;Onze excuses maar de betaalmethode %s is momenteel niet beschikbaar
We thank you for your order. A confirmation email has been sent;Dank u voor uw bestelling. Een bevestigingsmail is verstuurd
You don't have any categories yet;U heeft nog geen categorieën
You have a connected printer? Enter the email address;Je hebt een aangesloten printer? Vul het e-mailadres in
You have a connected printer? Enter the email address for each store;Je hebt een aangesloten printer? Vul het e-mailadres voor iedere winkel in
Your address;Uw adres
Your email address;Uw e-mail adres
Your firstname;Uw voornaam
Your lastname;Uw achternaam
Your phone number;Uw telefoonnummer
+ Add a track;+ Voeg een nummer toe
Add albums and tracks to the playlist:;Albums en tracks toevoegen aan de afspeellijst:
Are you sure you don't want to create an album for these tracks?;Weet u zeker dat u  geen album voor deze nummers wilt maken?
Are you sure you don't want to create an album for this track?;Weet u zeker dat u  geen album voor dit nummer wilt maken?
Are you sure you want to delete this album (this won't delete tracks)?;Weet u zeker dat u dit album wilt verwijderen? ( nummers worden niet verwijdert)
Are you sure you want to delete this album?;Weet u zeker dat u dit album wilt verwijderen?
Are you sure you want to delete this playlist?;Weet u zeker dat u dit nummer wilt verwijderen?
Are you sure you want to delete this track?;Weet u zeker dat u dit nummer wilt verwijderen?
Artist:;Artiest
Artist;Artiest
Album;Album
Albums;Albums
Albums:;Albums:
An error occurred while deleting your album. Thanks for trying later.;Er is een fout opgetreden tijdens het verwijderen van uw album. Probeer het later opnieuw.
An error occurred while deleting your playlist. Thanks for trying later.;Er is een fout opgetreden tijdens het verwijderen van uw afspeellijst. Probeer het later opnieuw.
An error occurred while deleting your track. Thanks for trying later.;Er is een fout opgetreden bij het verwijderen van je track. Probeer het later opnieuw.
An error occurred while saving your playlist. Thanks for trying later.;Er is een fout opgetreden bij het opslaan van uw afspeellijst. Probeer het later opnieuw.
An error occurred while deleting you images gallery. Please try again later.;Er is een fout opgetreden bij het verwijderen van je fotoalbum. Probeer het later opnieuw.
An error occurred while loading pictures. Please try later.;Er is een fout opgetreden tijdens het laden van de afbeeldingen. Probeert u het later nog eens..
An error occurred while loading videos. Please try later.;Er is een fout opgetreden tijdens het laden van de video's. Probeer het later nog eens.
An error occurred while saving your images gallery. Please try again later.;Er is een fout opgetreden tijdens het opslaan van uw afbeeldingen galerij. Probeer het later nog eens.
An error occurred while saving your videos gallery. Please try again later.;Er is een fout opgetreden tijdens het opslaan van uw video galerij. Probeer het later nog eens.
Audio;Audio
buy;koop
Channel;Kanaal
Choose an album;Kies een album
close;sluit
Custom;Aangepast
Delete this gallery?;Verwijder deze galerij
empty;leeg
Feed URL;Url de votre flux
"Feed URL <span class=""required-entry"">*</span> :";"Url de votre flux <span class=""required-entry"">*</span> :"
from;van
Gallery Name;Gallery Naam
"Gallery Name <span class=""required-entry"">*</span> :";"Gallery Naam <span class=""required-entry"">*</span> :"
Group;Groep
hide;verberg
I'm listening to;Ik luister naar
Images gallery has been saved successfully;Fotoalbum met succes opgeslagen
Instagram;Instagram
Last update:;Laatste update:
loop;Herhaal
Maximum size : 2000*2000 px - Allowed filetypes : jpg and png;Maximaal formaat : 2000x2000px – toegestaande formaten: jpg et png
music;muziek
My pictures;Mijn afbeeldingen
next;volgende
No album found;Geen album gevonden
No artist found;Geen artiest gevonden
No track found;Geen nummer gevonden
on;op
Parameter;Parameter
Parameter/Feed Url;Parameter/Feed Url
pause;pauze
Picasa;Picasa
Picture%s;Afbeeldingen%s
play;play
PLAYER;PLAYER
Playlist;Afspeellijst
Playlist title:;Afspeellijst-titel:
Playlists;Afspeellijsten
Playlist successfully saved.;Afspeellijst succesvol opgeslagen.
Podcast;Podcast
Podcast URL (iTunes format);Podcast URL (iTunes-formaat)
previous;vorige
Read all;Lees alle
Required field;Verplicht veld
Search/Url;Zoek/Url
share;deel
shuffle;shuffel
The entered name is not a valid Instagram user.;De ingevoerde naam is geen geldige Instagram gebruiker.
This element is not an album.;Dit element is niet een album.
track;nummer
tracks;nummers
Track;nummer
Tracks;nummers
Type;Type
URL (.mp3):;URL (.mp3):
Videos gallery has been saved successfully;Video galerij is met succes opgeslagen
Vimeo;Vimeo
Lock the entire application?;Vergrendel de gehele applicatie?
Choose the features to lock:;Kies de functies om te vergrendelen:
Restrict Access;Beperk toegang
Allow all the users by default:;Beperkte toegang
the gender;man /vrouw
the first name;de voornaam
the last name;de achternaam
the email address;het e-mailadres
the password;Het wachtwoord
Access restricted to authorized members only;Toegang alleen voor leden
We are sorry but your account does not have enough permissions to access this page;Het spijt ons maar uw account heeft niet genoeg rechten om deze pagina te bekijken
Payments;Betalingen
Identifier:;Identifier
Identifier:;Identifier:
Rating:;Waardering:
Label:;Label:
Latitude:;Breedtegraad:
Longitude:;Lengtegraad:
Number of rooms:;Aantal kamers:
Information:;Informatie:
Opening Details:;Openingsdetails:
Indexing data... This process will take #{d}. Please, do not refresh the page.;Data indexeren... Dit proces duurt #{d}. Gelieve de pagina niet te verversen.
about %s hour;Ongeveer %s uur
about %s hours;Ongeveer %s uren
less than a minute;Minder dan een minuut
This identifier is already used.;Deze identifier is al in gebruik.
Unable to automatically retrieve the coordinates of this place. Please, provide them manually.;Het automatisch terughalen van de coordinaten is mislukt. Gelieve deze handmatig in te voeren.
Distance:;Afstand:
An error occurred while saving your discount. Please fill in all fields;Er is een fout opgetreden bij het opslaan van uw coupon. Vul alle velden in.
Are you sure you want to use this discount?;Weet u zeker dat u deze korting wilt gebruiken?
Closed discounts;Afgeronde promoties
Create a new discount;Maak een nieuwe korting
Delete this discount?;Verwijder deze korting
Discount successfully deleted;Korting succesvol verwijderd
Discount successfully saved;Korting succesvol opgeslagen
Please select an end date greater than the current date.;Selecteer een einddatum groter is dan de huidige datum.
This discount is now used;Deze korting is nu gebruikt
Valid until;Geldig tot
You have already use this discount;Je hebt al van deze korting gebruik gemaakt
You must be logged in to use a discount;Je moet ingelogd zijn om een korting te gebruiken
or illimited;of gelimiteerd
use only once;alleen eenmaal
you'll be able to remove this promotion later;je kunt deze promotie later verwijderen
Additionnal Information;Bijkomende informatie
And a radius (in Km):;En een straal (in km):
Android;Android
Creation date;Aanmaak datum
Enter a location:;Geef een locatie op:
GCM Key;GCM Key
I want to send it;Ik wil het bericht versturen
Keys successfully saved;Key succesvol opgeslagen
Message;Bericht
Message:;Berichten:
Pending;Nog niet verzonden
Push Notifications;Notifications Push
Push Notifications Settings;Paramètres des notifications push
Radius;Radius
Send to a specific location;Stuur naar een specifiek gebied
Send to all my users;Verstuur naar alle gebruikers
Sender ID;Zender ID
Sending date;Verzend datum
The duration limit must be higher than the sent date;De tijdslimiet moet hoger zijn dan de verzonden datum
Your app must be published to send a push notification.;Uw app moet worden gepubliceerd om een push-bericht versturen.
Your message has been saved successfully and will be sent at the entered date;Uw bericht is succesvol opgeslagen en word op de ingevoerde datum verstuurd
Your message has been saved successfully and will be sent in a few minutes;Uw bericht is succesvol opgeslagen, en word in een paar minuten verzonden
and users entering the area;en gebruikers die het gebied binnen komen
for a limited period;voor een bepaalde periode
now;nu
on a specific date;op een bepaalde datum
%s ago;%s geleden
An error occurred while saving your RSS feed;Er heeft zich een fout voorgedaan tijdens het opslaan van uw RSS feed
Display feed pictures whenever possible;Toon feed afbeeldingen wanneer mogelijk
Enter the URL of this RSS feed;Vul de url in van de RSS feed
Found feeds;Gevonden feeds
No RSS feed could be found;Er kon geen RSS feed gevonden worden
RSS feed successfully saved;RSS feed succesvol opgeslagen
Show article;Bekijk artikel
day;dag
hour;uur
minute;minuut
Action;Actie
App Name;App Naam
Client;Klant
Date;Datum
Invoice;Factuur
Invoice %s;Factuur %s
Invoice N°;Factuur N°
List of your invoices;Lijst van uw facturen
My Invoices;Mijn Facturen
Order;Opdracht
Orders;Bestellingen
Paid At;Betaald op
Paid at:;Betaald op:
Price Excl. Tax;Prijs excl. BTW
Qty;Aantal
This feature is not ready yet. Please try again later.;Deze functie is nog niet beschikbaar. Probeer het later opnieuw.
Total Excl. Tax;Totaal Excl. BTW
You don't have any invoices yet;U heeft nog geen facturen
An error occurred while loading the videos. Please try again later.;Er is een fout opgetreden tijdens het laden van de video's. Probeer het later opnieuw.
Enter your Facebook Fan Page Id;Voer hier uw Facebook fanpagina ID in
"Enter your Facebook Fan Page Id <span class=""required-entry""> *</span>:";"Voer hier uw Facebook fanpagina ID in <span class=""Verpligte invoer""> *</span> :"
%s point%s;%s punten%s
A month;Een maand
A week;Een week
Challengers;Uitdagers
Current game;Huidig spel
Currently no challengers;Pas de challengers pour l'instant
Game Name;Naam van spel
Game successfully saved;Spel succesvol opgeslagen
Next game;Volgend spel
On the;Op de
Period;Période
Periodicity;Periodiciteit
Publication date;Publicatiedatum
Rank of the month;Klassement van de maand
Rank of the week;Klassement van de week
Team Leader;Teamleider
Source Code;Source Code
Insert your HTML code:;Plaats de HTML-code:
%s Subscription for %s;%s Inschrijving voor %s
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Klik hier</a> om terug te gaan naar je lijst met App's"
Active;Actief
An error occurred while processing your order. Please, try again later.;Er is een fout opgetreden bij het verwerken van uw bestelling. Probeer het later opnieuw.
An error occurred while saving. Please try again later;Er is een fout opgetreden tijdens het opslaan. Probeer het later opnieuw
An error occurred while saving. The selected subscription is not valid.;Er is een fout opgetreden tijdens het opslaan. Het geselecteerde abonnement is niet geldig.
Are you sure you want to delete this plan?;Weet u zeker dat u dit plan wilt verwijderen?
Billing Address;Factuuradres
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Door het aanvinken van dit vakje, gaat u akkoord <a id = ""show_tos"" href = ""javascript: void (0);"" target = ""_ blank"" class = ""onderstrepen""> met onze algemene voorwaarden </a>"
Charged to your client every month;Word maandelijks in rekening gebracht
Charged to your client every year;Word jaarlijks in rekening gebracht
Charged to your client when placing the order;Word in rekening gebracht bij het plaatsen van de bestelling
Choose the subscription that suits you best:;Kies het abonnement dat het beste bij u past:
Create a new subscription;Maak een nieuw abonnement
Creation;Maak
Describe here this plan. Will be displayed on the front end;Beschrijf hier dit plan. Zal op de voorkant worden weergegeven
Each price must be entered excluding tax;iedere prijs moet worden ingevoerd exclusief BTW
Edit the subscription %s;Bewerk het abonnement %s
Expiration;Vervalt
Expiration date;Vervaldatum
Give a name to this plan. Will be displayed on the front end;Geef een naam aan dit plan. Zal op de voorkant worden weergegeven
List of your plans;Uw prijslijsten (tarieven)
List of your subscriptions;Lijst van uw abonnementen
None;Geen
One-off;Eenmalig
Order's details;Bestel details
Payment;Betaling
Payment Option;Betaal optie
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Beveiligde betaling door <img src=""%s"" width=""100"" title=""Paypal"" />"
Please, enter a company;Vul een bedrijfsnaam in.
Please, enter a country;Vul een land in.
Please, enter a description.;Vul een beschrijving in.
Please, enter a name.;Vul een naam in.
Please, enter an address;Vul een adres in.
Pricing;Tarieven
Proceed to payment?;Overgaan tot betaling?
Recurring;Terugkerende
Setup Fee;Setup kosten
Setup fee;Setup kosten
Subscription;Abonnement
Subscription successfully saved;Abonnement succesvol opgeslagen
Subtotal;Subtotaal
Thanks!;Bedankt!
The monthly price is not a valid price (e.g. 12.34);Het maandelijkse tarief heeft geen geldige waarde (bijvoorbeeld 12.34)
The setup fee is not a valid price (e.g. 12.34);De setup fee heeft geen geldige waarde (bijv. 12.34)
The yearly price is not a valid price (e.g. 12.34);Het  jaarlijkse tarief heeft geen geldige waarde (bijvoorbeeld 12.34)
This subscription is active;Dit abonnement is actief
An error occurred while processing the payment. For more information, please feel free to contact us.;Er is een fout opgetreden bij het verwerken van de betaling. Voor meer informatie neem contact met ons op
VAT Number;BTW-nummer
You already have a subscription for this application;U heeft al een abonnement voor deze App
You don't have any subscriptions yet;Je hebt nog geen abonnementen
You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.;Je bent bijna klaar! Na inschrijving zullen we uw applicatie op zowel de AppStore en Google Play publiceren.
Your VAT Number is not valid;Uw BTW-nummer is niet geldig
Your order has been canceled. If you need any help to place your order, please feel free to contact us.;Uw bestelling is geannuleerd. Als u hulp nodig hebt om uw bestelling te plaatsen neem dan gerust contact met ons op
Your order has been successfully paid. Your application will be published very soon.;Uw bestelling is succesvol betaald. Uw App zal zeer binnenkort worden gepubliceerd.
Your subscription must have at least one price;Uw abonnement moet ten minste één prijs hebben
price;Prijs
<b>File types:</b> %s<br /><b>Recommended size:</b> %s;<b>Bestandstypen:</b> %s<br /><b>Aanbevolen grootte:</b> %s
Click here to send your favicon;Klik hier om je favicon te uploaden
Click here to send your logo;Klik hier om uw logo te uploaden
Communications;Communicatie
Current favicon;Huidige favicon
Current logo;Huidig logo
Display a link to your clients to your support platform;Toont een link aan uw klanten naar uw helpdesk
Drop your favicon here;Laat hier uw favicon vallen
Drop your logo here;Laat hier uw logo vallen
Sales;Verkoop
Sales Email Address;Verkoop – e-mailadres
Sender's email address of the emails sent by the site to your clients;E-mail adres van de  e-mails die door de site word verzonden naar uw klanten
Sender's name of the emails sent by the site to your clients;Naam van de afzender die door de site naar uw klanten word verzonden
Support Email Address;Helpdesk email adres
The folder /images/default is not writable.;De map / images / default is niet beschrijfbaar.
Your Location;Uw Locatie
Your Platform;Uw Platform
Your company;Uw bedrijf
List of your taxes;Lijst van belastingen
Please select a country;Selecteer een land
Please, enter a tax rate.;Vul een belastingtarief in.
Please, enter a valid tax rate.;Vul een geldig belastingtarief in.
Rate;Beoordeel
Remove;Verwijderen
You don't have created any taxes yet;Je hebt nog geen lijst met belasting tariven gemaakt
TEMPLATES;Template
Add a link;Voeg een link toe
An error occurred while saving your picto. Please try againg later.;Er is een fout opgetreden bij het opslaan van uw pictogram. Probeert u het later nog een keer.
Are you sure you want to delete this link?;Weet u zeker dat u deze link wilt verwijderen?
Are you sure you want to delete this picture?;Weet u zeker dat u deze afbeelding wilt verwijderen?
Link;Link
Link has been successfully deleted;Link is succesvol verwijderd
Link has been successfully saved;Link is succesvol opgeslagen
Link:;Link:
Picto;Picto
The image has been successfully deleted;De afbeelding is met succes verwijderd
The image has been successfully saved;De afbeelding is met succes bewaard
Your links;Uw links
An error occurred while accessing your Wordpress website. Please, verify the domain name %s;Er is een fout opgetreden bij het openen van uw Wordpress website. Controleert de domeinnaam %s
Categories successfully saved;Categorieën succesvol opgeslagen
Click here to download our Wordpress plugin;Klik hier om onze WordPress plugin te downloaden
Enter your Wordpress URL:;Vul uw Wordpress URL in:
Loading categories;Categorieën Laden
We are sorry but no category has been detected on your Wordpress website.;Het spijt ons maar er zijn geen categorieën gedetecteerd op uw Wordpress website.
We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.;Het spijt ons maar er is geen wordpress plugin gededekteerd op uw website. Zorg er voor dat de plugin goed is geinstaleerd op uw website
Wordpress;Wordpress
